Oregon Digital
Page View Statistics for July 2018
University of Oregon Libraries
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.mwdl.org/collections/AngelusStudiophotographs1880s1940s.php,3,3,00:00:31,1,0.00%,33.33%
www.mwdl.org/collections/CharlesWFurlong18741967photographs18951965.php,2,2,00:00:23,0,0.00%,0.00%
www.mwdl.org/collections/CLAndrewsphotographs1880s1948.php,2,2,00:00:45,0,0.00%,0.00%
www.mwdl.org/collections/JamesCloutierCollection.php,2,2,00:00:46,1,100.00%,50.00%
www.mwdl.org/collections/LesbianIntentionalCommunityRuthMountaingroveb1923photographs.php,2,1,00:00:45,0,0.00%,0.00%
mwdl.org/collections/FlorenceMHartshornphotographs18991900.php,1,1,00:00:04,0,0.00%,0.00%
www.mwdl.org/collections/DanPowellphotographs1970s2000s.php,1,1,00:00:18,0,0.00%,0.00%
www.mwdl.org/collections/DissociationandTraumaArchives.php,1,1,00:06:45,0,0.00%,0.00%
www.mwdl.org/collections/DorisUlmannPhotographs.php,1,1,00:00:53,0,0.00%,0.00%
www.mwdl.org/collections/FlorenceMHartshornphotographs18991900.php,1,1,00:00:19,0,0.00%,0.00%
www.mwdl.org/collections/FrazierAugustusBoutellephotographsc18651900.php,1,1,00:07:02,0,0.00%,0.00%
www.mwdl.org/collections/GraysonMathews19482007photographs1970s1990s.php,1,1,00:00:56,0,0.00%,0.00%
www.mwdl.org/collections/JohnBauguessPhotographs1970s.php,1,1,00:00:17,0,0.00%,0.00%
www.mwdl.org/collections/LeeDDrake18821957photographsca19101957.php,1,1,00:01:31,0,0.00%,0.00%
www.mwdl.org/collections/LeeMoorhousePhotographs.php,1,1,00:03:17,0,0.00%,0.00%
www.mwdl.org/collections/TheElectricStudioOGAllenphotographsca19111913.php,1,1,00:00:16,0,0.00%,0.00%
www.mwdl.org/collections/WalterSBowman18651938photographs1880s1920s.php,1,1,00:00:19,0,0.00%,0.00%
Oregon State University Libraries
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/OregonStateUniversityYearbooks.php,2,1,00:01:30,0,0.00%,50.00%
mwdl.org/collections/KenGrayInsectImageCollection.php,1,1,00:00:00,0,0.00%,100.00%

Page View Statistics for August 2018
University of Oregon Libraries
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/WalterSBowman18651938photographs1880s1920s.php,3,2,00:00:17,1,0.00%,0.00%
Oregon State University Libraries
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/KenGrayInsectImageCollection.php,2,2,00:00:26,0,0.00%,50.00%
mwdl.org/collections/IllustratedBooklets.php,1,1,00:00:06,0,0.00%,0.00%
National Endowment for the Humanities and the American Council of Learned Societies
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/PetrarchCanzionere.php,1,1,00:00:04,0,0.00%,0.00%

Page View Statistics for September 2018
University of Oregon Libraries
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/OpalWhiteley18971992photographs.php,2,2,00:00:00,2,100.00%,100.00%
mwdl.org/collections/FrazierAugustusBoutellephotographsc18651900.php,1,1,00:00:01,1,0.00%,0.00%
mwdl.org/collections/LesbianIntentionalCommunityRuthMountaingroveb1923photographs.php,1,1,00:00:00,1,100.00%,100.00%
mwdl.org/collections/UOStockPhotos.php,1,1,00:00:00,1,100.00%,100.00%
www.mwdl.org/collections/FlorenceMHartshornphotographs18991900.php,1,1,00:00:00,1,100.00%,100.00%


