Stats for January 2018
Salt Lake Community College Libraries
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Salt Lake Community College Photograph Archives,mwdl.org/collections/1567.php,9,4,00:00:09,1,0.00%,11.11%
Salt Lake Community College Student Newspapers,www.mwdl.org/collections/1606.php,2,1,00:00:06,0,0.00%,50.00%
Salt Lake Community College Scholarly and Creative Works,mwdl.org/collections/1605.php,1,1,00:00:00,1,100.00%,100.00%
Stats for February 2018
Salt Lake Community College Libraries
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Salt Lake Community College Photograph Archives,mwdl.org/collections/1567.php,2,1,00:00:35,1,0.00%,0.00%
Salt Lake Community College Scholarly and Creative Works,mwdl.org/collections/1605.php,2,2,00:00:00,2,100.00%,100.00%
Salt Lake Community College Student Newspapers,mwdl.org/collections/1606.php,1,1,00:00:00,1,100.00%,100.00%
Stats for March 2018
Salt Lake Community College Libraries
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Salt Lake Community College Photograph Archives,mwdl.org/collections/1567.php,2,1,00:02:45,0,0.00%,0.00%
