Southern Utah University
Page View Statistics for June 2018
Southern Utah University - Sherratt Library
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/AllenLeighPhotographs.php,5,5,00:00:22,2,50.00%,20.00%
mwdl.org/collections/IronCountyUTExtensionOfficePhotographs.php,4,3,<00:00:01,1,100.00%,25.00%
mwdl.org/collections/SouthwestUtahLivestockAssociation.php,3,2,00:00:44,0,0.00%,0.00%
www.mwdl.org/collections/AllenLeighPhotographs.php,2,1,00:00:12,0,0.00%,50.00%
mwdl.org/collections/EvelynandYorkJonesBooks.php,1,1,00:00:27,0,0.00%,0.00%
mwdl.org/collections/IronMiningDistrictIronCountyUT.php,1,1,00:01:59,0,0.00%,0.00%
mwdl.org/collections/RDAdamsPhotographs.php,1,1,00:00:16,0,0.00%,0.00%
mwdl.org/collections/SouthernUtahStateCollege.php,1,1,00:00:00,1,100.00%,100.00%
www.mwdl.org/collections/WilliamRPalmerPhotographs.php,1,1,00:00:00,1,100.00%,100.00%

Page View Statistics for May 2018
Southern Utah University - Sherratt Library
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/AllenLeighPhotographs.php,3,3,00:00:00,3,100.00%,100.00%
www.mwdl.org/collections/AllenLeighPhotographs.php,2,2,00:00:47,0,0.00%,50.00%
www.mwdl.org/collections/JohnSBoydenThreeScoreandTeninRetrospective.php,2,2,00:00:15,1,0.00%,50.00%
mwdl.org/collections/BeaverUTMurdockAcademyCollection.php,1,1,00:00:01,0,0.00%,0.00%
mwdl.org/collections/IronCountyUTExtensionOfficePhotographs.php,1,1,00:00:00,1,100.00%,100.00%
mwdl.org/collections/UtahParksCompanyEmployeePhotographs.php,1,1,00:00:42,0,0.00%,0.00%
www.mwdl.org/collections/CharlesFordPhotographs.php,1,1,00:00:25,0,0.00%,0.00%
www.mwdl.org/collections/EvelynandYorkJonesBooks.php,1,1,00:04:19,0,0.00%,0.00%
www.mwdl.org/collections/HomerJonesPhotographs.php,1,1,00:01:10,0,0.00%,0.00%
www.mwdl.org/collections/JohnDavidMorrillPhotographs.php,1,1,00:00:58,0,0.00%,0.00%
www.mwdl.org/collections/JohnWesleyWilliamsonPhotographs.php,1,1,00:01:31,0,0.00%,0.00%
www.mwdl.org/collections/MiltJolleyPhotographs.php,1,1,00:00:27,0,0.00%,0.00%
www.mwdl.org/collections/RDAdamsPhotographs.php,1,1,00:00:00,0,0.00%,100.00%
www.mwdl.org/collections/WilliamRPalmerPhotographs.php,1,1,00:00:24,0,0.00%,0.00%
Daughters of the Utah Pioneers, Cedar City (UT)
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.mwdl.org/collections/DaughtersoftheUtahPioneersCedarCityUT.php,4,3,00:04:47,2,50.00%,50.00%
Emery County (UT) Archives
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.mwdl.org/collections/EmeryCountyUTHistoryPhotographs.php,4,3,00:00:15,2,50.00%,25.00%
mwdl.org/collections/EmeryCountyUTHistoryPhotographs.php,2,2,00:15:43,1,100.00%,50.00%
Emery County (UT) Public Library and Emery County (UT) Archives
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/DwellingsintheBosomofEmeryCountyUT.php,1,1,00:00:04,0,0.00%,0.00%
www.mwdl.org/collections/DwellingsintheBosomofEmeryCountyUT.php,1,1,00:02:12,0,0.00%,0.00%

Page View Statistics for April 2018
Southern Utah University - Sherratt Library
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/AllenLeighPhotographs.php,3,2,00:00:04,1,0.00%,33.33%
mwdl.org/collections/IronCountyUTExtensionOfficePhotographs.php,3,2,00:00:14,2,50.00%,66.67%
mwdl.org/collections/CharlesFordPhotographs.php,2,1,00:00:09,0,0.00%,0.00%
www.mwdl.org/collections/IronMiningDistrictIronCountyUT.php,2,2,00:03:12,1,100.00%,50.00%
www.mwdl.org/collections/SouthernUtahStateCollege.php,2,2,00:00:25,1,0.00%,50.00%
mwdl.org/collections/MiltJolleyPhotographs.php,1,1,00:00:02,1,0.00%,0.00%
mwdl.org/collections/WilliamRPalmerPhotographs.php,1,1,00:00:00,0,0.00%,100.00%
www.mwdl.org/collections/IronCountyUTExtensionOfficePhotographs.php,1,1,00:00:00,1,100.00%,100.00%
www.mwdl.org/collections/SouthwestUtahLivestockAssociation.php,1,1,00:00:05,0,0.00%,0.00%
www.mwdl.org/collections/UtahParksCompanyEmployeePhotographs.php,1,1,00:07:16,0,0.00%,0.00%
Daughters of the Utah Pioneers, Cedar City (UT)
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.mwdl.org/collections/DaughtersoftheUtahPioneersCedarCityUT.php,2,1,00:00:20,1,0.00%,50.00%
Emery County (UT) Archives
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/EmeryCountyUTHistoryPhotographs.php,1,1,00:00:00,0,0.00%,100.00%
www.mwdl.org/collections/EmeryCountyUTHistoryPhotographs.php,1,1,00:00:00,1,100.00%,100.00%
U.S. Forest Service, Dixie National Forest
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/DixieNationalForestUTPhotographs.php,1,1,00:00:01,0,0.00%,0.00%


