Stats for December 2017
Uintah County (UT) Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Uintah County Regional History Center Collection,mwdl.org/collections/1029.php,19,6,00:00:22,2,50.00%,10.53%
Thorne Photograph Collection,mwdl.org/collections/1030.php,6,6,00:08:53,2,100.00%,66.67%
Vernal (UT) Express Photograph Collection,mwdl.org/collections/1047.php,6,5,00:00:05,3,66.67%,66.67%
Stats for November 2017
Uintah County (UT) Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Uintah County Regional History Center Collection,mwdl.org/collections/1029.php,9,4,00:00:27,4,50.00%,44.44%
Thorne Photograph Collection,mwdl.org/collections/1030.php,6,4,00:00:10,0,0.00%,33.33%
Vernal (UT) Express Photograph Collection,mwdl.org/collections/1047.php,1,1,00:00:00,1,100.00%,100.00%
Stats for October 2017
Uintah County (UT) Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Uintah County Regional History Center Collection,mwdl.org/collections/1029.php,2,2,00:00:00,1,100.00%,100.00%
Thorne Photograph Collection,mwdl.org/collections/1030.php,2,1,00:00:23,0,0.00%,0.00%
Vernal (UT) Express Photograph Collection,mwdl.org/collections/1047.php,2,1,00:02:49,1,0.00%,50.00%
Thorne Photograph Collection,www.mwdl.org/collections/1030.php,1,1,00:00:11,0,0.00%,0.00%
Stats for September 2017
Uintah County (UT) Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Uintah County Regional History Center Collection,mwdl.org/collections/1029.php,5,4,00:00:55,2,50.00%,40.00%
Thorne Photograph Collection,mwdl.org/collections/1030.php,1,1,00:02:39,0,0.00%,0.00%
Uintah County Regional History Center Collection,www.mwdl.org/collections/1029.php,1,1,00:00:16,0,0.00%,0.00%
Stats for August 2017
Uintah County (UT) Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Thorne Photograph Collection,mwdl.org/collections/1030.php,8,5,00:02:37,0,0.00%,12.50%
Uintah County Regional History Center Collection,mwdl.org/collections/1029.php,3,2,00:00:19,1,0.00%,33.33%
Vernal (UT) Express Photograph Collection,mwdl.org/collections/1047.php,2,1,00:00:09,0,0.00%,0.00%
Stats for July 2017
Uintah County (UT) Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Uintah County Regional History Center Collection,mwdl.org/collections/1029.php,7,6,0:01:33,4,75.00%,57.14% 
Uintah County Regional History Center Collection,www.mwdl.org/collections/1029.php,5,1,0:02:25,0,0.00%,0.00% 
Thorne Photograph Collection,mwdl.org/collections/1030.php,4,3,0:01:06,1,100.00%,50.00% 
Vernal (UT) Express Photograph Collection,mwdl.org/collections/1047.php,2,2,0:00:00,2,100.00%,100.00% 
Stats for June 2017
Uintah County (UT) Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Vernal (UT) Express Photograph Collection,mwdl.org/collections/1047.php,20,8,00:01:31,3,33.33%,35.00%
Uintah County Regional History Center Collection,mwdl.org/collections/1029.php,6,4,00:00:44,1,0.00%,33.33%
Thorne Photograph Collection,mwdl.org/collections/1030.php,3,3,00:00:06,0,0.00%,33.33%
Vernal (UT) Express Photograph Collection,www.mwdl.org/collections/1047.php,2,2,00:00:00,0,0.00%,100.00%
Thorne Photograph Collection,www.mwdl.org/collections/1030.php,1,1,00:12:50,0,0.00%,0.00%
Stats for May 2017
Uintah County (UT) Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Uintah County Regional History Center Collection,mwdl.org/collections/1029.php,6,3,0:01:58,1,100.00%,50.00%
Thorne Photograph Collection,mwdl.org/collections/1030.php,2,1,0:00:30,0,0.00%,0.00%
Vernal (UT) Express Photograph Collection,mwdl.org/collections/1047.php,2,2,0:00:00,1,100.00%,100.00%
