age,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/collections.php,401,219,00:00:35,189,28.04%,23.44%,$0.00
mwdl.org/collections/pCollections.php,112,51,00:00:56,0,0.00%,11.61%,$0.00
mwdl.org/partners/partners.php,96,72,00:01:08,38,28.95%,27.08%,$0.00
www.mwdl.org/collections/collections.php,72,44,00:00:52,32,28.12%,25.00%,$0.00
mwdl.org/getinvolved/policies.php,65,50,00:02:59,40,75.00%,63.08%,$0.00
mwdl.org/portals/ead.php,64,16,00:02:19,5,40.00%,15.62%,$0.00
mwdl.org/collections/aCollections.php,44,27,00:00:50,0,0.00%,6.82%,$0.00
www.mwdl.org/portals/ead.php,40,6,00:00:29,3,33.33%,12.50%,$0.00
mwdl.org/index.php,32,25,00:01:32,24,70.83%,68.75%,$0.00
mwdl.org/partners/OremUTPublicLibrary.php,27,15,00:01:26,0,0.00%,7.41%,$0.00
mwdl.org/partners/UniversityofUtahJWillardMarriottLibrary.php,24,14,00:01:00,0,0.00%,0.00%,$0.00
mwdl.org/collections/AmericanWestwardMigration.php,19,14,00:00:33,0,0.00%,31.58%,$0.00
mwdl.org/portals/pioneers.php,19,12,00:02:03,9,66.67%,57.89%,$0.00
www.mwdl.org/partners/partners.php,19,15,00:00:08,5,20.00%,26.32%,$0.00
mwdl.org/collections/CityofOremUT.php,14,9,00:00:40,0,0.00%,14.29%,$0.00
mwdl.org/getinvolved/repository_setup.php,13,12,00:00:40,4,75.00%,53.85%,$0.00
mwdl.org/partners/BoiseStateUniversityAlbertsonsLibrary.php,13,11,00:02:36,4,75.00%,53.85%,$0.00
mwdl.org/dpla/about_dpla.php,11,10,00:00:16,8,87.50%,63.64%,$0.00
mwdl.org/partners/BrighamYoungUniversityHaroldBLeeLibrary.php,11,9,00:02:21,0,0.00%,18.18%,$0.00
mwdl.org/collections/1282.php,10,7,00:01:02,7,85.71%,70.00%,$0.00
mwdl.org/partners/BuffaloBillCenteroftheWestMcCrackenResearchLibrary.php,10,8,00:00:18,0,0.00%,20.00%,$0.00
mwdl.org/amppartners/UniversityofUtahJWillardMarriottLibrary.php,9,2,00:00:17,0,0.00%,0.00%,$0.00
mwdl.org/getinvolved/oai_queries.php,9,9,00:00:31,5,100.00%,77.78%,$0.00
mwdl.org/partners/UtahValleyUniversityLibrary.php,9,7,00:01:01,1,100.00%,11.11%,$0.00
www.mwdl.org/collections/FrankLloydWrightWasmuthPortfolio.php,9,7,00:00:53,6,66.67%,77.78%,$0.00
mwdl.org/collections/JohnWesleyPowellCollection.php,8,7,00:00:21,0,0.00%,12.50%,$0.00
mwdl.org/collections/KarlBodmerAquatintCollection.php,8,4,00:01:11,0,0.00%,0.00%,$0.00
mwdl.org/collections/VietnamEraOralHistoryProject.php,8,6,00:03:37,0,0.00%,12.50%,$0.00
mwdl.org/collections/WestminsterCollegePhotographCollection.php,8,7,00:00:09,0,0.00%,25.00%,$0.00
mwdl.org/collections/HealthEducationAssetsLibrary.php,7,6,00:00:10,3,66.67%,85.71%,$0.00
mwdl.org/collections/MS021YellowstoneNationalPark.php,7,7,00:00:50,0,0.00%,42.86%,$0.00
mwdl.org/getinvolved/becomePartner.php,7,6,00:00:50,3,0.00%,0.00%,$0.00
www.mwdl.org/collections/OgdenChurchesandSchools.php,7,4,00:03:36,3,33.33%,42.86%,$0.00
mwdl.org/collections/ProvoUTCityLibraryHistoricalPhotographs.php,6,3,00:02:11,0,0.00%,33.33%,$0.00
mwdl.org/collections/ThornePhotographCollection.php,6,5,00:00:07,0,0.00%,33.33%,$0.00
