Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/index.php,670,511,00:01:34,494,65.18%,60.00%,$0.00
mwdl.org/collections/collections.php,263,179,00:01:23,89,57.30%,35.36%,$0.00
www.mwdl.org/index.php,158,127,00:01:37,126,69.05%,68.35%,$0.00
mwdl.org/partners/partners.php,59,43,00:00:35,4,25.00%,25.42%,$0.00
www.mwdl.org/collections/collections.php,37,26,00:02:04,4,50.00%,35.14%,$0.00
mwdl.org/collections/AmericanWestwardMigration.php,34,26,00:00:55,0,0.00%,26.47%,$0.00
mwdl.org/partners/partnerslist.php,34,16,00:00:31,0,0.00%,2.94%,$0.00
mwdl.org/getinvolved/guidelines.php,29,25,00:04:16,22,95.45%,79.31%,$0.00
mwdl.org/collections/FrankLloydWrightWasmuthPortfolio.php,26,13,00:00:41,11,36.36%,42.31%,$0.00
mwdl.org/getinvolved/policies.php,24,17,00:01:10,4,75.00%,50.00%,$0.00
mwdl.org/getinvolved/oai_queries.php,23,18,00:06:16,18,83.33%,78.26%,$0.00
mwdl.org/portals/pioneers.php,17,11,00:00:23,8,87.50%,47.06%,$0.00
mwdl.org/collections/pCollections.php,15,6,00:00:47,0,0.00%,0.00%,$0.00
mwdl.org/collections/CharlesRSavagePhotographs1.php,12,6,00:00:12,2,50.00%,25.00%,$0.00
www.mwdl.org/partners/BoiseStateUniversityAlbertsonsLibrary.php,12,1,00:00:12,0,0.00%,8.33%,$0.00
mwdl.org/dpla/about_dpla.php,11,10,00:00:35,6,83.33%,63.64%,$0.00
mwdl.org/partners/BrighamYoungUniversityHaroldBLeeLibrary.php,11,9,00:00:30,0,0.00%,18.18%,$0.00
mwdl.org/collections/CharlesRSavagePhotographs2.php,10,4,00:00:14,0,0.00%,10.00%,$0.00
mwdl.org/collections/aCollections.php,9,9,00:00:23,0,0.00%,22.22%,$0.00
mwdl.org/collections/BasqueDigitalCollection.php,9,4,00:00:46,2,0.00%,22.22%,$0.00
mwdl.org/collections/HealthEducationAssetsLibrary.php,9,8,00:00:12,7,28.57%,33.33%,$0.00
mwdl.org/getinvolved/repository_setup.php,9,9,00:00:03,7,100.00%,88.89%,$0.00
mwdl.org/maps/maps.php,9,7,00:00:06,3,66.67%,33.33%,$0.00
www.mwdl.org/partners/WeberStateUniversityStewartLibrary.php,9,5,00:00:24,2,0.00%,11.11%,$0.00
mwdl.org/partners/UniversityofUtahJWillardMarriottLibrary.php,8,7,00:01:35,0,0.00%,25.00%,$0.00
mwdl.org/partners/UtahValleyUniversityLibrary.php,8,7,00:00:18,4,50.00%,62.50%,$0.00
mwdl.org/collections/FrankBeckwithCollection.php,7,4,00:02:12,2,50.00%,42.86%,$0.00
mwdl.org/collections/IronCountyUTExtensionOfficePhotographs.php,7,6,00:00:40,0,0.00%,28.57%,$0.00
mwdl.org/collections/NevadainMaps.php,7,5,00:00:16,4,50.00%,57.14%,$0.00
mwdl.org/events/MWDLMeetingSummer2018.php,7,7,00:00:00,4,100.00%,85.71%,$0.00
mwdl.org/getinvolved/becomePartner.php,7,6,00:00:12,0,0.00%,0.00%,$0.00
mwdl.org/partners/UniversityofNevadaRenoUniversityLibraries.php,7,6,00:04:06,3,33.33%,28.57%,$0.00
mwdl.org/collections/ColoradoRiverbedCase.php,6,6,00:00:07,0,0.00%,50.00%,$0.00
mwdl.org/partners/DeltaUTCityLibrary.php,6,4,00:00:19,2,0.00%,33.33%,$0.00
mwdl.org/partners/OregonStateUniversityLibraries.php,6,5,00:00:44,1,0.00%,16.67%,$0.00
mwdl.org/ampcollections/AmericanWestwardMigration.php,5,4,00:08:04,0,0.00%,40.00%,$0.00
mwdl.org/ampcollections/HealthEducationAssetsLibrary.php,5,5,00:00:00,3,100.00%,100.00%,$0.00
mwdl.org/ampcollections/WeberCountyPolkDirectories.php,5,3,00:01:28,3,33.33%,60.00%,$0.00
mwdl.org/collections/JackLondonCollection.php,5,5,00:00:03,4,100.00%,80.00%,$0.00
mwdl.org/collections/JohnWesleyPowellCollection.php,5,4,00:00:18,0,0.00%,0.00%,$0.00
mwdl.org/collections/LarsonStudioNegativeCollection.php,5,4,00:00:01,3,66.67%,40.00%,$0.00
mwdl.org/collections/SaltLakeCityPublicLibrarySpecialCollections.php,5,5,00:00:49,2,0.00%,40.00%,$0.00
mwdl.org/collections/SaltLakeCommunityCollegeAudiovisualArchives.php,5,3,00:00:56,0,0.00%,0.00%,$0.00
mwdl.org/collections/ThornePhotographCollection.php,5,5,00:00:03,0,0.00%,0.00%,$0.00
mwdl.org/events/events.php,5,4,00:00:09,0,0.00%,20.00%,$0.00
mwdl.org/getinvolved/becomeMember.php,5,4,00:02:17,0,0.00%,20.00%,$0.00
mwdl.org/partners/UniversityofUtahSpencerSEcclesHealthSciencesLibrary.php,5,3,00:00:31,1,0.00%,20.00%,$0.00
test.mwdl.org/index.php,5,5,00:00:00,5,100.00%,100.00%,$0.00
www.mwdl.org/portals/pioneers.php,5,1,00:00:14,0,0.00%,0.00%,$0.00
mwdl.org/collections/DaughtersoftheUtahPioneersCedarCityUT.php,4,4,00:00:01,3,100.00%,75.00%,$0.00
mwdl.org/collections/EncyclopediaofMormonism.php,4,2,00:00:33,1,0.00%,25.00%,$0.00
mwdl.org/collections/HarmoniaMacrocosmica.php,4,3,00:00:14,0,0.00%,0.00%,$0.00
mwdl.org/collections/LettersofPhilipIIKingofSpain.php,4,4,00:05:10,2,0.00%,25.00%,$0.00
mwdl.org/collections/MargaretMWheatCollection.php,4,4,00:00:05,2,50.00%,50.00%,$0.00
