Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/index.php,666,459,00:02:26,439,69.48%,59.76%,$0.00
mwdl.org/collections/1282.php,260,149,00:01:13,149,58.39%,54.23%,$0.00
mwdl.org/aboutCollections.php,182,86,00:00:42,39,38.46%,21.98%,$0.00
www.mwdl.org/index.php,142,83,00:02:19,83,54.22%,49.30%,$0.00
mwdl.org/collections/1038.php,86,45,00:01:39,43,39.53%,41.86%,$0.00
mwdl.org/partners/119.php,41,10,00:01:42,8,37.50%,17.07%,$0.00
test.mwdl.org/NewSite/collections/collections.php,41,34,00:01:02,4,50.00%,26.83%,$0.00
mwdl.org/collections/1050.php,40,38,00:01:05,37,94.59%,90.00%,$0.00
mwdl.org/collections/1208.php,39,26,00:02:32,26,69.23%,64.10%,$0.00
mwdl.org/about.php,32,27,00:01:25,5,80.00%,18.75%,$0.00
mwdl.org/collections/1795.php,30,20,00:00:36,20,75.00%,66.67%,$0.00
mwdl.org/partners/117.php,30,12,00:01:19,11,27.27%,30.00%,$0.00
mwdl.org/aboutPartners.php,25,21,00:00:34,8,87.50%,48.00%,$0.00
mwdl.org/getinvolved/policies.php,25,22,00:01:22,11,100.00%,64.00%,$0.00
mwdl.org/collections/2096.php,23,16,00:00:43,16,56.25%,65.22%,$0.00
mwdl.org/collections/1173.php,22,12,00:01:04,12,66.67%,54.55%,$0.00
mwdl.org/getinvolved/getinvolved.php,22,15,00:01:11,2,100.00%,40.91%,$0.00
mwdl.org/partners/136.php,20,8,00:00:18,1,0.00%,10.00%,$0.00
mwdl.org/collections/1029.php,19,6,00:00:22,2,50.00%,10.53%,$0.00
mwdl.org/collections/1037.php,18,16,00:08:14,15,86.67%,88.89%,$0.00
mwdl.org/collections/1123.php,18,9,00:00:34,7,28.57%,38.89%,$0.00
mwdl.org/portals/portals.php,16,13,00:00:15,4,100.00%,25.00%,$0.00
mwdl.org/collections/1068.php,15,6,00:02:30,1,100.00%,33.33%,$0.00
mwdl.org/collections/2148.php,15,13,00:08:40,11,90.91%,80.00%,$0.00
mwdl.org/portals/pioneers.php,15,12,00:00:47,11,81.82%,73.33%,$0.00
mwdl.org/collections/1014.php,14,9,00:00:52,9,66.67%,64.29%,$0.00
mwdl.org/collections/1324.php,14,9,00:01:17,9,44.44%,57.14%,$0.00
mwdl.org/collections/1314.php,13,7,00:01:25,6,33.33%,23.08%,$0.00
mwdl.org/collections/1158.php,12,8,00:00:38,5,60.00%,41.67%,$0.00
mwdl.org/collections/1279.php,12,3,00:00:33,2,100.00%,16.67%,$0.00
mwdl.org/collections/2155.php,12,9,00:00:32,8,75.00%,66.67%,$0.00
mwdl.org/collections/1176.php,11,7,00:03:46,7,57.14%,54.55%,$0.00
mwdl.org/collections/1269.php,11,6,00:01:09,6,50.00%,54.55%,$0.00
test.mwdl.org/NewSite/partners/partners.php,10,9,00:01:45,0,0.00%,30.00%,$0.00
mwdl.org/collections/1157.php,9,7,00:00:26,7,85.71%,77.78%,$0.00
mwdl.org/collections/1168.php,9,6,00:00:35,5,80.00%,66.67%,$0.00
mwdl.org/getinvolved/guidelines.php,9,8,00:04:12,2,100.00%,66.67%,$0.00
mwdl.org/aboutCollections.php/byInstitution/39,8,7,00:00:48,7,42.86%,50.00%,$0.00
mwdl.org/collections/1006.php,8,5,00:00:45,4,75.00%,50.00%,$0.00
mwdl.org/collections/1040.php,8,3,00:01:58,3,33.33%,37.50%,$0.00
mwdl.org/collections/1834.php,8,7,00:11:54,7,85.71%,87.50%,$0.00
mwdl.org/collections/2164.php,8,4,00:00:33,2,50.00%,37.50%,$0.00
mwdl.org/getinvolved/oai_queries.php,8,8,00:00:31,7,85.71%,75.00%,$0.00
mwdl.org/collections/1103.php,7,5,00:00:09,4,75.00%,57.14%,$0.00
mwdl.org/collections/1811.php,7,5,00:00:15,4,100.00%,71.43%,$0.00
mwdl.org/collections/1941.php,7,5,00:01:02,2,100.00%,28.57%,$0.00
mwdl.org/about/contact.php,6,6,00:04:30,4,75.00%,66.67%,$0.00
mwdl.org/collections/1016.php,6,6,00:00:07,5,100.00%,83.33%,$0.00
mwdl.org/collections/1030.php,6,6,00:08:53,2,100.00%,66.67%,$0.00
mwdl.org/collections/1047.php,6,5,00:00:05,3,66.67%,66.67%,$0.00
mwdl.org/collections/1138.php,6,2,00:01:08,1,100.00%,16.67%,$0.00
mwdl.org/collections/1203.php,6,6,00:00:00,6,100.00%,100.00%,$0.00
mwdl.org/collections/1235.php,6,4,00:00:31,3,66.67%,50.00%,$0.00
mwdl.org/collections/1950.php,6,4,00:00:20,3,66.67%,50.00%,$0.00
mwdl.org/events/events.php,6,6,00:00:31,6,66.67%,66.67%,$0.00
www.mwdl.org/collections/1173.php,6,3,00:00:32,3,66.67%,50.00%,$0.00
mwdl.org/collections/1001.php,5,4,00:02:03,1,0.00%,20.00%,$0.00
mwdl.org/collections/1059.php,5,4,00:01:01,4,75.00%,80.00%,$0.00
mwdl.org/collections/1112.php,5,4,00:00:16,3,100.00%,60.00%,$0.00
mwdl.org/collections/1183.php,5,5,00:00:00,5,100.00%,100.00%,$0.00
mwdl.org/collections/1241.php,5,3,00:00:56,3,33.33%,60.00%,$0.00
mwdl.org/collections/1268.php,5,3,00:04:39,2,50.00%,60.00%,$0.00
mwdl.org/collections/1676.php,5,4,00:02:08,4,75.00%,80.00%,$0.00
mwdl.org/collections/1794.php,5,5,00:00:00,5,100.00%,100.00%,$0.00
mwdl.org/collections/2031.php,5,5,00:00:07,2,100.00%,60.00%,$0.00
mwdl.org/maps/maps.php,5,4,00:00:08,3,100.00%,60.00%,$0.00
mwdl.org/partners/103.php,5,4,00:00:34,4,75.00%,80.00%,$0.00
mwdl.org/partners/109.php,5,3,00:00:08,3,66.67%,60.00%,$0.00
mwdl.org/partners/128.php,5,5,00:00:00,5,100.00%,100.00%,$0.00
www.mwdl.org/collections/2155.php,5,2,00:00:10,2,50.00%,40.00%,$0.00
www.mwdl.org/partners/369.php,5,3,00:07:46,0,0.00%,40.00%,$0.00
mwdl.org/about/faq.php,4,4,00:11:01,1,100.00%,50.00%,$0.00
mwdl.org/collections/1134.php,4,2,00:02:45,2,50.00%,50.00%,$0.00
mwdl.org/collections/1236.php,4,3,00:01:03,0,0.00%,0.00%,$0.00
mwdl.org/collections/1252.php,4,3,00:00:20,2,0.00%,50.00%,$0.00
mwdl.org/collections/1603.php,4,2,00:00:50,1,0.00%,25.00%,$0.00
mwdl.org/collections/1636.php,4,4,00:02:06,2,50.00%,25.00%,$0.00
