Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/index.php,"1,066",746,00:02:19,706,63.03%,56.75%,$0.00
mwdl.org/collections/1282.php,335,222,00:01:45,219,61.64%,60.60%,$0.00
mwdl.org/aboutCollections.php,273,141,00:00:43,42,42.86%,20.15%,$0.00
www.mwdl.org/index.php,236,164,00:02:54,164,57.32%,59.75%,$0.00
mwdl.org/collections/1038.php,119,72,00:02:05,66,53.03%,48.74%,$0.00
mwdl.org/about.php,91,56,00:00:49,9,33.33%,16.48%,$0.00
test.mwdl.org/NewSite/collections/collections.php,76,48,00:00:59,10,70.00%,21.05%,$0.00
mwdl.org/aboutPartners.php,70,51,00:00:35,5,40.00%,14.29%,$0.00
mwdl.org/getinvolved/getinvolved.php,51,42,00:01:15,2,0.00%,21.57%,$0.00
mwdl.org/collections/1795.php,45,33,00:01:06,32,71.88%,71.11%,$0.00
mwdl.org/collections/2096.php,44,21,00:02:45,19,36.84%,40.91%,$0.00
mwdl.org/portals/portals.php,44,37,00:00:31,8,62.50%,25.00%,$0.00
mwdl.org/getinvolved/policies.php,40,38,00:01:05,21,100.00%,65.00%,$0.00
mwdl.org/collections/1037.php,38,31,00:03:08,29,86.21%,78.95%,$0.00
mwdl.org/partners/119.php,37,23,00:01:06,16,56.25%,48.65%,$0.00
mwdl.org/events/worldCat.php,32,29,00:02:07,28,85.71%,84.38%,$0.00
mwdl.org/collections/1208.php,29,23,00:00:53,22,81.82%,75.86%,$0.00
mwdl.org/partners/136.php,29,20,00:01:34,11,36.36%,48.28%,$0.00
mwdl.org/collections/1040.php,27,16,00:01:33,12,58.33%,51.85%,$0.00
mwdl.org/collections/2148.php,24,18,00:00:45,18,72.22%,70.83%,$0.00
mwdl.org/collections/1050.php,23,21,00:07:20,20,90.00%,86.96%,$0.00
test.mwdl.org/NewSite/partners/partners.php,23,14,00:00:25,1,0.00%,8.70%,$0.00
mwdl.org/collections/1059.php,21,11,00:01:20,7,71.43%,38.10%,$0.00
mwdl.org/about/contact.php,20,17,00:00:12,4,75.00%,60.00%,$0.00
mwdl.org/collections/2153.php,20,12,00:00:38,9,77.78%,45.00%,$0.00
mwdl.org/collections/1008.php,19,4,00:00:52,3,33.33%,15.79%,$0.00
mwdl.org/collections/1014.php,18,14,00:02:49,13,84.62%,66.67%,$0.00
mwdl.org/collections/1158.php,17,11,00:00:59,7,71.43%,47.06%,$0.00
mwdl.org/collections/1006.php,16,9,00:00:44,8,50.00%,50.00%,$0.00
mwdl.org/getinvolved/becomeMember.php,16,10,00:01:47,1,0.00%,12.50%,$0.00
mwdl.org/maps/maps.php,16,13,00:00:22,5,80.00%,43.75%,$0.00
mwdl.org/collections/1314.php,15,14,00:00:52,11,100.00%,86.67%,$0.00
mwdl.org/collections/1324.php,15,9,00:00:17,8,37.50%,53.33%,$0.00
mwdl.org/getinvolved/guidelines.php,15,13,00:00:47,6,83.33%,80.00%,$0.00
test.mwdl.org/NewSite/portals/ead.php,15,9,00:01:35,1,0.00%,33.33%,$0.00
mwdl.org/collections/1123.php,13,6,00:01:08,6,33.33%,46.15%,$0.00
mwdl.org/collections/1941.php,13,12,00:00:15,1,100.00%,23.08%,$0.00
mwdl.org/events/events.php,13,12,00:00:27,8,87.50%,76.92%,$0.00
mwdl.org/partners/128.php,13,10,00:03:09,8,62.50%,61.54%,$0.00
slack.mwdl.org/index.php,13,13,00:00:00,13,100.00%,100.00%,$0.00
mwdl.org/about/faq.php,12,11,00:03:26,1,100.00%,50.00%,$0.00
mwdl.org/aboutCollections.php/byInstitution/39,12,8,00:00:29,7,42.86%,50.00%,$0.00
mwdl.org/collections/1603.php,12,3,00:00:54,2,50.00%,16.67%,$0.00
mwdl.org/portals/dha.php,12,10,00:00:31,9,44.44%,58.33%,$0.00
www.mwdl.org/aboutCollections.php,12,10,00:01:02,1,0.00%,16.67%,$0.00
mwdl.org/collections/1173.php,11,8,00:00:45,8,62.50%,72.73%,$0.00
mwdl.org/collections/1807.php,11,5,00:02:04,2,50.00%,27.27%,$0.00
mwdl.org/collections/2044.php,11,6,00:00:45,5,40.00%,36.36%,$0.00
mwdl.org/collections/1001.php,10,6,00:00:22,2,100.00%,30.00%,$0.00
mwdl.org/collections/1068.php,10,8,00:12:08,7,85.71%,80.00%,$0.00
mwdl.org/events/DAMS_options.php,10,10,00:00:04,8,100.00%,80.00%,$0.00
mwdl.org/getinvolved/repository_setup.php,10,10,00:02:47,5,80.00%,60.00%,$0.00
mwdl.org/partners/101.php,10,8,00:01:24,5,80.00%,50.00%,$0.00
mwdl.org/partners/117.php,10,8,00:00:20,8,75.00%,80.00%,$0.00
mwdl.org/collections/1249.php,9,6,00:00:13,6,50.00%,55.56%,$0.00
mwdl.org/collections/2014.php,9,7,00:04:57,0,0.00%,0.00%,$0.00
mwdl.org/collections/2276.php,9,3,00:00:40,1,0.00%,11.11%,$0.00
mwdl.org/getinvolved/oai_queries.php,9,9,00:00:58,4,100.00%,77.78%,$0.00
mwdl.org/partners/105.php,9,6,00:00:10,4,75.00%,33.33%,$0.00
mwdl.org/collections/1002.php,8,6,00:00:31,2,50.00%,25.00%,$0.00
mwdl.org/collections/1029.php,8,8,00:00:35,8,87.50%,87.50%,$0.00
mwdl.org/collections/1786.php,8,4,00:01:03,1,0.00%,0.00%,$0.00
mwdl.org/collections/1950.php,8,6,00:01:13,5,80.00%,62.50%,$0.00
