Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/index.php,"1,021",742,00:01:57,707,65.77%,60.82%,$0.00
mwdl.org/collections/1282.php,349,220,00:01:58,219,56.62%,58.17%,$0.00
mwdl.org/aboutCollections.php,324,170,00:01:08,85,40.00%,25.31%,$0.00
www.mwdl.org/index.php,199,113,00:02:16,111,57.66%,50.25%,$0.00
mwdl.org/collections/1038.php,142,60,00:01:40,53,58.49%,35.92%,$0.00
test.mwdl.org/NewSite/collections/collections.php,77,51,00:00:29,13,23.08%,23.38%,$0.00
mwdl.org/about.php,67,46,00:01:23,10,50.00%,23.88%,$0.00
mwdl.org/partners/119.php,60,31,00:01:22,27,55.56%,40.00%,$0.00
mwdl.org/getinvolved/policies.php,57,44,00:03:07,34,97.06%,68.42%,$0.00
mwdl.org/collections/2096.php,44,26,00:00:39,24,50.00%,52.27%,$0.00
mwdl.org/aboutPartners.php,40,26,00:00:28,5,40.00%,22.50%,$0.00
mwdl.org/portals/portals.php,39,32,00:00:19,6,50.00%,20.51%,$0.00
mwdl.org/collections/1173.php,35,20,00:01:34,20,60.00%,57.14%,$0.00
mwdl.org/events/worldCat.php,35,28,00:05:52,28,67.86%,71.43%,$0.00
mwdl.org/getinvolved/getinvolved.php,33,26,00:00:32,6,66.67%,30.30%,$0.00
mwdl.org/collections/1006.php,32,9,00:02:23,6,50.00%,25.00%,$0.00
mwdl.org/collections/1795.php,32,19,00:03:15,19,57.89%,59.38%,$0.00
mwdl.org/collections/1014.php,24,15,00:04:09,15,53.33%,62.50%,$0.00
mwdl.org/collections/1050.php,23,22,00:00:08,22,95.45%,95.65%,$0.00
mwdl.org/collections/1037.php,22,14,00:03:47,12,66.67%,59.09%,$0.00
mwdl.org/collections/1208.php,21,15,00:03:38,15,66.67%,71.43%,$0.00
mwdl.org/collections/1310.php,21,9,00:00:54,7,28.57%,33.33%,$0.00
mwdl.org/collections/1324.php,19,8,00:02:35,8,37.50%,42.11%,$0.00
mwdl.org/collections/2148.php,19,15,00:02:33,12,66.67%,63.16%,$0.00
test.mwdl.org/NewSite/partners/partners.php,19,17,00:00:58,1,0.00%,36.84%,$0.00
mwdl.org/partners/136.php,18,12,00:03:34,6,50.00%,50.00%,$0.00
mwdl.org/partners/106.php,17,10,00:03:43,1,100.00%,23.53%,$0.00
mwdl.org/collections/1794.php,16,6,00:00:34,4,50.00%,31.25%,$0.00
mwdl.org/partners/104.php,16,12,00:00:05,11,90.91%,68.75%,$0.00
mwdl.org/aboutCollections.php/byInstitution/39,15,10,00:00:58,10,30.00%,33.33%,$0.00
mwdl.org/collections/1047.php,15,5,00:01:37,5,60.00%,26.67%,$0.00
mwdl.org/collections/1252.php,14,8,00:00:51,5,40.00%,35.71%,$0.00
mwdl.org/events/events.php,14,10,00:02:11,8,62.50%,50.00%,$0.00
mwdl.org/getinvolved/oai_queries.php,14,13,00:06:50,6,83.33%,64.29%,$0.00
mwdl.org/partners/117.php,14,9,00:02:45,9,33.33%,50.00%,$0.00
mwdl.org/collections/1176.php,13,8,00:01:28,8,75.00%,61.54%,$0.00
mwdl.org/collections/2156.php,13,11,00:01:31,11,81.82%,84.62%,$0.00
mwdl.org/collections/2153.php,12,6,00:00:42,5,60.00%,41.67%,$0.00
