Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/index.php,788,510,0:02:17,455,56.48%,47.97%,$0.00 
www.mwdl.org/index.php,421,255,0:03:07,247,58.06%,46.56%,$0.00 
mwdl.org/aboutCollections.php,281,162,0:01:02,71,28.17%,23.13%,$0.00 
mwdl.org/collections/1282.php,222,148,0:02:00,147,63.27%,61.26%,$0.00 
mwdl.org/about.php,151,100,0:01:52,22,50.00%,29.80%,$0.00 
test.mwdl.org/NewSite/collections/testCollection.php,113,2,0:00:49,1,0.00%,0.88%,$0.00 
mwdl.org/aboutPartners.php,110,47,0:00:49,4,50.00%,9.09%,$0.00 
mwdl.org/collections/1038.php,110,50,0:01:53,48,47.92%,39.09%,$0.00 
mwdl.org/portals/portals.php,83,55,0:00:39,8,50.00%,13.25%,$0.00 
mwdl.org/partners/106.php,79,7,0:00:21,4,0.00%,3.80%,$0.00 
mwdl.org/getinvolved/policies.php,63,53,0:01:20,39,82.05%,63.49%,$0.00 
www.mwdl.org/about.php,54,34,0:05:43,8,50.00%,31.48%,$0.00 
mwdl.org/collections/1068.php,50,16,0:02:49,3,33.33%,28.00%,$0.00 
mwdl.org/getinvolved/getinvolved.php,41,35,0:01:18,5,40.00%,19.51%,$0.00 
mwdl.org/collections/1050.php,36,32,0:02:18,32,84.38%,86.11%,$0.00 
mwdl.org/portals/ead_portal.php,35,18,0:02:19,5,20.00%,28.57%,$0.00 
mwdl.org/collections/2096.php,34,19,0:01:29,19,42.11%,55.88%,$0.00 
test.mwdl.org/NewSite/collections/AllenLeighPhotographs.php,33,3,0:00:48,1,0.00%,6.06%,$0.00 
www.mwdl.org/aboutCollections.php,28,15,0:00:35,3,33.33%,17.86%,$0.00 
mwdl.org/collections/1006.php,27,7,0:01:58,3,33.33%,22.22%,$0.00 
mwdl.org/collections/1014.php,26,18,0:00:51,17,52.94%,61.54%,$0.00 
mwdl.org/collections/1173.php,26,17,0:01:30,14,57.14%,53.85%,$0.00 
mwdl.org/collections/1795.php,26,14,0:00:53,14,35.71%,53.85%,$0.00 
mwdl.org/collections/1040.php,24,18,0:00:50,15,80.00%,75.00%,$0.00 
mwdl.org/partners/119.php,24,15,0:01:37,14,50.00%,50.00%,$0.00 
mwdl.org/collections/1158.php,21,11,0:00:53,10,50.00%,42.86%,$0.00 
mwdl.org/events/DAMS_options.php,20,16,0:01:31,14,71.43%,75.00%,$0.00 
mwdl.org/collections/1314.php,19,12,0:03:27,12,75.00%,63.16%,$0.00 
test.mwdl.org/NewSite/portals/pioneers.php,19,1,0:00:31,1,0.00%,0.00%,$0.00 
mwdl.org/collections/1208.php,18,15,0:00:47,15,86.67%,83.33%,$0.00 
mwdl.org/partners/139.php,18,11,0:01:03,10,30.00%,50.00%,$0.00 
mwdl.org/about/faq.php,17,15,0:02:08,1,0.00%,23.53%,$0.00 
mwdl.org/collections/1037.php,17,14,0:00:40,12,91.67%,76.47%,$0.00 
mwdl.org/partners/136.php,16,9,0:00:26,4,50.00%,31.25%,$0.00 
www.mwdl.org/portals/portals.php,16,9,0:00:25,0,0.00%,18.75%,$0.00 
mwdl.org/collections/1321.php,15,9,0:02:06,8,50.00%,46.67%,$0.00 
mwdl.org/collections/1639.php,15,12,0:00:37,12,83.33%,80.00%,$0.00 
mwdl.org/collections/2155.php,14,10,0:00:43,10,60.00%,71.43%,$0.00 
mwdl.org/events/MWDLMeetingSummer2017.php,14,9,0:00:26,1,100.00%,28.57%,$0.00 
mwdl.org/partners/117.php,14,8,0:06:30,6,33.33%,42.86%,$0.00 
mwdl.org/collections/1176.php,13,11,0:00:29,10,70.00%,69.23%,$0.00 
mwdl.org/collections/1310.php,13,7,0:01:08,6,33.33%,46.15%,$0.00 
mwdl.org/collections/1157.php,12,5,0:01:14,4,0.00%,25.00%,$0.00 
mwdl.org/collections/1249.php,12,5,0:00:21,5,20.00%,33.33%,$0.00 
mwdl.org/collections/1941.php,12,9,0:00:15,0,0.00%,16.67%,$0.00 
mwdl.org/getinvolved/guidelines.php,12,12,0:04:01,4,75.00%,66.67%,$0.00 
mwdl.org/partners/128.php,12,8,0:01:09,5,100.00%,50.00%,$0.00 
test.mwdl.org/NewSite/collections/collections.php,12,4,0:01:00,2,0.00%,8.33%,$0.00 
mwdl.org/collections/1269.php,10,3,0:02:07,2,0.00%,20.00%,$0.00 
mwdl.org/collections/1298.php,10,9,0:01:55,2,100.00%,40.00%,$0.00 
mwdl.org/collections/1324.php,10,8,0:00:51,8,75.00%,80.00%,$0.00 
mwdl.org/events/events.php,10,7,0:00:34,1,100.00%,40.00%,$0.00 
mwdl.org/partners/105.php,10,8,0:03:47,6,66.67%,50.00%,$0.00 
www.mwdl.org/aboutPartners.php,10,8,0:00:27,2,0.00%,0.00%,$0.00 
mwdl.org/about/contact.php,9,8,0:00:40,2,50.00%,22.22%,$0.00 
mwdl.org/collections/1059.php,9,6,0:00:39,4,50.00%,33.33%,$0.00 
mwdl.org/collections/1191.php,9,5,0:00:19,3,100.00%,33.33%,$0.00 
mwdl.org/collections/1895.php,9,6,0:03:57,4,50.00%,44.44%,$0.00 
mwdl.org/collections/2148.php,9,5,0:01:45,5,40.00%,33.33%,$0.00 
mwdl.org/maps/maps.php,9,8,0:00:06,0,0.00%,22.22%,$0.00 
mwdl.org/partners/288.php,9,8,0:00:51,8,87.50%,88.89%,$0.00 
mwdl.org/collections/1103.php,8,6,0:00:28,6,66.67%,75.00%,$0.00 
mwdl.org/collections/1123.php,8,6,0:00:13,5,80.00%,62.50%,$0.00 
mwdl.org/getinvolved/oai_queries.php,8,8,0:00:31,6,83.33%,75.00%,$0.00 
mwdl.org/partners/112.php,8,5,0:02:26,4,50.00%,37.50%,$0.00 
mwdl.org/partners/143.php,8,3,0:00:09,0,0.00%,0.00%,$0.00 
mwdl.org/partners/350.php,8,7,0:00:19,1,100.00%,50.00%,$0.00 
mwdl.org/portals/pioneers.php,8,7,0:00:23,4,100.00%,50.00%,$0.00 
www.mwdl.org/collections/2155.php,8,6,0:00:12,6,66.67%,75.00%,$0.00 
www.mwdl.org/partners/353.php,8,5,0:03:27,0,0.00%,25.00%,$0.00 
www.mwdl.org/portals/ead_portal.php,8,6,0:03:14,1,0.00%,0.00%,$0.00 
mwdl.org/collections/1029.php,7,6,0:01:33,4,75.00%,57.14%,$0.00 
mwdl.org/getinvolved/becomeMember.php,7,5,0:00:24,0,0.00%,0.00%,$0.00 
mwdl.org/getinvolved/becomePartner.php,7,5,0:00:09,0,0.00%,0.00%,$0.00 
mwdl.org/partners/103.php,7,4,0:00:13,1,0.00%,14.29%,$0.00 
mwdl.org/partners/114.php,7,3,0:00:09,0,0.00%,0.00%,$0.00 
