Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/collections.php,335,189,00:01:11,167,35.93%,29.25%,$0.00
www.mwdl.org/events/MWDLMeetingSummer2018.php,116,97,00:02:41,95,88.42%,81.90%,$0.00
mwdl.org/partners/partners.php,51,41,00:00:17,14,50.00%,29.41%,$0.00
www.mwdl.org/collections/collections.php,49,32,00:01:00,25,32.00%,32.65%,$0.00
mwdl.org/getinvolved/policies.php,45,43,00:03:56,35,91.43%,80.00%,$0.00
mwdl.org/index.php,44,25,00:00:38,25,56.00%,45.45%,$0.00
mwdl.org/events/MWDLMeetingSummer2018.php,37,32,00:04:46,30,86.67%,81.08%,$0.00
mwdl.org/collections/pCollections.php,31,14,00:01:49,0,0.00%,6.45%,$0.00
mwdl.org/collections/AmericanWestwardMigration.php,27,21,00:00:57,0,0.00%,33.33%,$0.00
mwdl.org/getinvolved/guidelines.php,25,25,00:00:00,21,100.00%,100.00%,$0.00
mwdl.org/partners/DepartmentofHeritageandArts.php,24,12,00:00:22,3,66.67%,16.67%,$0.00
mwdl.org/collections/aCollections.php,22,14,00:01:46,0,0.00%,27.27%,$0.00
mwdl.org/portals/ead.php,21,14,00:01:43,8,37.50%,33.33%,$0.00
mwdl.org/portals/pioneers.php,20,15,00:00:39,5,100.00%,30.00%,$0.00
mwdl.org/events/MWDLMeetingSummer2018.php?platform=hootsuite,16,12,00:03:29,12,75.00%,68.75%,$0.00
mwdl.org/partners/partnerslist.php,16,11,00:02:19,0,0.00%,25.00%,$0.00
www.mwdl.org/partners/partners.php,15,6,00:01:09,1,100.00%,6.67%,$0.00
mwdl.org/partners/BoiseStateUniversityAlbertsonsLibrary.php,14,2,00:01:18,0,0.00%,0.00%,$0.00
mwdl.org/collections/FrankLloydWrightWasmuthPortfolio.php,12,11,00:00:28,7,71.43%,58.33%,$0.00
mwdl.org/collections/HealthEducationAssetsLibrary.php,12,8,00:00:34,7,85.71%,66.67%,$0.00
www.mwdl.org/partners/partnerslist.php,11,3,00:00:08,0,0.00%,9.09%,$0.00
