Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/index.php,"1,226",837,00:02:37,786,61.83%,54.73%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do,"1,009",776,00:01:32,584,31.34%,27.06%,$0.00
mwdl.org/collections/1282.php,428,252,00:01:41,252,59.13%,54.67%,$0.00
www.mwdl.org/index.php,360,237,00:03:20,227,55.95%,48.61%,$0.00
mwdl.org/aboutCollections.php,349,176,00:00:59,55,27.27%,20.34%,$0.00
mwdl.org/collections/1038.php,147,85,00:01:54,83,57.83%,50.34%,$0.00
mwdl.org/about.php,136,86,00:01:25,16,37.50%,18.38%,$0.00
mwdl.org/collections/1795.php,127,82,00:02:17,82,62.20%,61.42%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?scp.scps=scope:(mw)&vid=MWDL&indx=1&vl(35820410UI1)=lsr13&vl(freeText1)=Health+Education+Assets+Library,116,95,00:01:02,73,35.62%,31.90%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?scp.scps=scope:(mw)&vid=MWDL,94,72,00:01:21,52,11.54%,17.02%,$0.00
mwdl.org/aboutPartners.php,91,57,00:00:44,4,25.00%,12.09%,$0.00
mwdl.org/portals/portals.php,89,62,00:00:59,9,33.33%,14.61%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?vid=MWDL,85,63,00:01:43,31,32.26%,24.71%,$0.00
test.mwdl.org/collections/collections.php,79,47,00:00:47,12,25.00%,17.72%,$0.00
www.mwdl.org/about.php,71,42,00:03:38,12,50.00%,22.54%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?scp.scps=scope:(mw)&vid=MWDL&indx=1&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+State+Historical+Society+Classified+Photograph+Collection,68,51,00:01:53,36,30.56%,29.41%,$0.00
mwdl.org/getinvolved/policies.php,66,57,00:02:40,37,91.89%,68.18%,$0.00
mwdl.org/collections/2096.php,65,28,00:01:44,27,33.33%,38.46%,$0.00
mwdl.org/getinvolved/getinvolved.php,53,44,00:01:34,4,50.00%,24.53%,$0.00
mwdl.org/partners/119.php,50,35,00:01:51,28,53.57%,48.00%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?vl(freeText0)=Sanitation+workers&scp.scps=scope:(mw)&vid=MWDL&vl(35821425UI2)=all_items&vl(1UI0)=exact&vl(12791079UI0)=sub,46,18,00:01:35,17,58.82%,36.96%,$0.00
