Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/collections.php,283,188,00:00:51,167,37.13%,34.28%,$0.00
www.mwdl.org/collections/collections.php,88,57,00:01:42,51,43.14%,36.36%,$0.00
mwdl.org/partners/partners.php,83,60,00:00:54,40,40.00%,39.76%,$0.00
mwdl.org/getinvolved/policies.php,55,45,00:01:33,37,83.78%,67.27%,$0.00
mwdl.org/collections/pCollections.php,48,23,00:00:29,0,0.00%,16.67%,$0.00
mwdl.org/collections/aCollections.php,26,19,00:01:41,0,0.00%,15.38%,$0.00
mwdl.org/portals/pioneers.php,23,14,00:02:18,9,66.67%,39.13%,$0.00
www.mwdl.org/collections/FrankLloydWrightWasmuthPortfolio.php,23,18,00:00:39,13,53.85%,56.52%,$0.00
mwdl.org/getinvolved/guidelines.php,20,19,00:02:03,15,86.67%,85.00%,$0.00
mwdl.org/getinvolved/oai_queries.php,17,17,00:00:00,12,100.00%,100.00%,$0.00
mwdl.org/portals/ead.php,17,7,00:00:35,2,100.00%,29.41%,$0.00
mwdl.org/partners/partnerslist.php,16,13,00:00:28,0,0.00%,6.25%,$0.00
mwdl.org/getinvolved/repository_setup.php,15,14,00:01:27,9,77.78%,60.00%,$0.00
mwdl.org/partners/BrighamYoungUniversityHaroldBLeeLibrary.php,15,9,00:00:10,0,0.00%,0.00%,$0.00
mwdl.org/collections/HealthEducationAssetsLibrary.php,14,10,00:05:31,3,66.67%,50.00%,$0.00
mwdl.org/partners/UniversityofUtahJWillardMarriottLibrary.php,13,10,00:00:13,0,0.00%,7.69%,$0.00
www.mwdl.org/partners/UniversityofUtahJWillardMarriottLibrary.php,13,9,00:00:18,3,0.00%,7.69%,$0.00
www.mwdl.org/collections/FrankBeckwithCollection.php,11,9,00:06:18,3,66.67%,36.36%,$0.00
www.mwdl.org/collections/HealthEducationAssetsLibrary.php,10,8,00:00:55,6,33.33%,50.00%,$0.00
www.mwdl.org/partners/partners.php,10,8,00:00:08,5,80.00%,50.00%,$0.00
mwdl.org/collections/AmericanWestwardMigration.php,9,8,00:00:02,0,0.00%,66.67%,$0.00
mwdl.org/collections/TopazMuseumCollection.php,9,4,00:00:23,0,0.00%,11.11%,$0.00
mwdl.org/collections/TrailsofHopeOverlandImages18461869.php,9,7,00:00:40,2,100.00%,44.44%,$0.00
mwdl.org/collections/MS021YellowstoneNationalPark.php,8,8,00:00:21,0,0.00%,37.50%,$0.00
mwdl.org/getinvolved/becomePartner.php,8,6,00:05:38,3,33.33%,12.50%,$0.00
www.mwdl.org/collections/AmericanWestwardMigration.php,8,4,00:02:50,0,0.00%,37.50%,$0.00
www.mwdl.org/collections/DardHunterBookCollection.php,7,3,00:00:09,0,0.00%,14.29%,$0.00
www.mwdl.org/partners/UniversityofNevadaLasVegasUniversityLibraries.php,7,4,00:00:04,3,66.67%,42.86%,$0.00
mwdl.org/collections/SaltLakeCommunityCollegeAudiovisualArchives.php,6,5,00:00:15,5,80.00%,83.33%,$0.00
mwdl.org/dpla/about_dpla.php,6,6,00:00:52,5,80.00%,66.67%,$0.00
www.mwdl.org/collections/aCollections.php,6,4,00:01:22,0,0.00%,16.67%,$0.00
mwdl.org/collections/CivilianConservationCorpsinUtah.php,5,5,00:00:29,2,50.00%,40.00%,$0.00
mwdl.org/collections/ColoradoRiverbedCase.php,5,5,00:01:59,0,0.00%,20.00%,$0.00
mwdl.org/collections/FrankBeckwithCollection.php,5,4,00:00:14,1,0.00%,40.00%,$0.00
mwdl.org/collections/GreatBasinAssociationPhotographs.php,5,3,00:00:16,0,0.00%,0.00%,$0.00
mwdl.org/collections/GreatBasinNationalHeritageAreaOralHistories.php,5,4,00:00:10,4,75.00%,80.00%,$0.00
mwdl.org/collections/UtahDivisionofAnimalIndustryBrandBooks.php,5,3,00:00:28,2,0.00%,20.00%,$0.00
mwdl.org/collections/UtahGovernorsOlympicCollection.php,5,4,00:00:24,1,100.00%,40.00%,$0.00
mwdl.org/partners/AmericanForkCityUTPublicLibrary.php,5,3,00:00:03,1,100.00%,20.00%,$0.00
mwdl.org/partners/BrighamYoungUniversityIdaho.php,5,4,00:00:05,0,0.00%,0.00%,$0.00
mwdl.org/partners/UtahStateArchives.php,5,4,00:00:19,0,0.00%,0.00%,$0.00
mwdl.org/partners/WeberStateUniversityStewartLibrary.php,5,5,00:01:09,0,0.00%,40.00%,$0.00
www.mwdl.org/amppartners/UniversityofUtahJWillardMarriottLibrary.php,5,3,00:00:42,0,0.00%,40.00%,$0.00
www.mwdl.org/collections/pCollections.php,5,3,00:10:02,0,0.00%,0.00%,$0.00
www.mwdl.org/collections/WesternShoshoneDefenseProject.php,5,5,00:02:05,4,75.00%,80.00%,$0.00
mwdl.org/amppartners/UniversityofUtahJWillardMarriottLibrary.php,4,2,00:00:17,0,0.00%,0.00%,$0.00
mwdl.org/collections/AfricanAmericanExperience.php,4,4,00:00:41,0,0.00%,0.00%,$0.00
mwdl.org/collections/EasternIdahoNewspapers.php,4,2,00:00:06,0,0.00%,0.00%,$0.00
mwdl.org/collections/LarsonStudioNegativeCollection.php,4,3,00:00:58,1,100.00%,50.00%,$0.00
mwdl.org/collections/ProvoUTHistoricalImages.php,4,1,00:00:48,0,0.00%,25.00%,$0.00
mwdl.org/collections/RegreeningofCacheValley.php,4,3,00:00:04,3,33.33%,50.00%,$0.00
