Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/index.php,"1,008",676,00:02:13,645,64.19%,57.14%,$0.00
mwdl.org/aboutCollections.php,312,149,00:01:06,69,44.93%,21.15%,$0.00
mwdl.org/collections/1282.php,226,145,00:02:35,145,61.38%,60.62%,$0.00
www.mwdl.org/index.php,146,93,00:01:35,91,52.75%,52.05%,$0.00
mwdl.org/about.php,126,89,00:01:25,47,46.81%,30.16%,$0.00
mwdl.org/collections/1006.php,106,7,00:01:21,6,16.67%,5.66%,$0.00
mwdl.org/aboutPartners.php,89,69,00:01:35,27,77.78%,35.96%,$0.00
mwdl.org/collections/1038.php,88,56,00:03:01,55,63.64%,55.68%,$0.00
test.mwdl.org/NewSite/collections/collections.php,74,46,00:01:07,6,16.67%,12.16%,$0.00
mwdl.org/portals/portals.php,66,44,00:01:16,8,37.50%,15.15%,$0.00
mwdl.org/partners/119.php,53,24,00:01:06,18,55.56%,37.74%,$0.00
mwdl.org/collections/1050.php,44,41,00:06:03,41,90.24%,90.91%,$0.00
mwdl.org/collections/1068.php,40,8,00:01:37,4,75.00%,17.50%,$0.00
mwdl.org/collections/1795.php,34,19,00:02:59,19,63.16%,55.88%,$0.00
mwdl.org/collections/2096.php,34,21,00:02:08,20,55.00%,58.82%,$0.00
mwdl.org/portals/ead_portal.php,26,11,00:02:12,1,100.00%,30.77%,$0.00
test.mwdl.org/NewSite/partners/partners.php,26,19,00:01:30,0,0.00%,19.23%,$0.00
mwdl.org/collections/1059.php,25,14,00:02:00,10,40.00%,28.00%,$0.00
mwdl.org/collections/1037.php,23,20,00:00:40,19,89.47%,82.61%,$0.00
mwdl.org/portals/pioneers.php,23,17,00:00:55,8,62.50%,34.78%,$0.00
mwdl.org/collections/1173.php,22,14,00:01:01,13,69.23%,59.09%,$0.00
mwdl.org/collections/1208.php,22,17,00:00:31,17,76.47%,72.73%,$0.00
mwdl.org/getinvolved/getinvolved.php,21,15,00:00:22,0,0.00%,4.76%,$0.00
mwdl.org/collections/1060.php,20,6,00:02:41,0,0.00%,20.00%,$0.00
mwdl.org/getinvolved/policies.php,20,19,00:00:28,11,100.00%,80.00%,$0.00
mwdl.org/partners/136.php,20,12,00:02:07,8,50.00%,40.00%,$0.00
mwdl.org/collections/1014.php,19,9,00:01:15,8,75.00%,36.84%,$0.00
mwdl.org/getinvolved/guidelines.php,19,16,00:01:58,13,84.62%,73.68%,$0.00
mwdl.org/partners/107.php,18,3,00:01:52,0,0.00%,11.11%,$0.00
mwdl.org/collections/1941.php,17,13,00:02:00,0,0.00%,11.76%,$0.00
mwdl.org/collections/2148.php,15,13,00:00:25,10,80.00%,66.67%,$0.00
mwdl.org/maps/maps.php,15,8,00:01:16,1,0.00%,6.67%,$0.00
mwdl.org/aboutCollections.php/byInstitution/39,14,8,00:00:56,8,37.50%,57.14%,$0.00
mwdl.org/collections/1158.php,14,5,00:01:18,4,75.00%,28.57%,$0.00
mwdl.org/collections/1324.php,13,10,00:00:55,10,80.00%,76.92%,$0.00
mwdl.org/collections/1640.php,13,2,00:00:11,1,0.00%,7.69%,$0.00
mwdl.org/collections/1811.php,13,8,00:00:20,7,100.00%,53.85%,$0.00
mwdl.org/events/DAMS_options.php,13,11,00:02:42,11,90.91%,84.62%,$0.00
mwdl.org/collections/1176.php,12,8,00:05:00,8,75.00%,66.67%,$0.00
mwdl.org/collections/2155.php,12,7,00:02:49,6,50.00%,41.67%,$0.00
mwdl.org/collections/1543.php,11,1,00:02:05,0,0.00%,0.00%,$0.00
mwdl.org/about/contact.php,10,7,00:00:18,0,0.00%,60.00%,$0.00
mwdl.org/about/faq.php,10,9,00:05:16,2,100.00%,40.00%,$0.00
mwdl.org/collections/1241.php,10,4,00:02:30,4,50.00%,40.00%,$0.00
mwdl.org/collections/1931.php,10,4,00:03:38,1,100.00%,30.00%,$0.00
mwdl.org/collections/2102.php,10,2,00:00:46,2,50.00%,20.00%,$0.00
mwdl.org/getinvolved/repository_setup.php,10,8,00:01:10,7,71.43%,60.00%,$0.00
test.mwdl.org/NewSite/collections/aCollections.php,10,5,00:00:52,0,0.00%,0.00%,$0.00
mwdl.org/about/featured.php,9,8,00:01:53,8,75.00%,77.78%,$0.00
mwdl.org/collections/1029.php,9,4,00:00:27,4,50.00%,44.44%,$0.00
mwdl.org/collections/1071.php,9,3,00:00:11,1,100.00%,11.11%,$0.00
mwdl.org/collections/1157.php,9,5,00:01:21,5,40.00%,55.56%,$0.00
mwdl.org/collections/1526.php,9,5,00:00:16,3,66.67%,33.33%,$0.00
mwdl.org/collections/1794.php,9,3,00:00:21,2,50.00%,22.22%,$0.00
mwdl.org/getinvolved/oai_queries.php,9,9,00:00:00,8,100.00%,100.00%,$0.00
mwdl.org/partners/350.php,9,4,00:00:36,2,50.00%,33.33%,$0.00
mwdl.org/collections/1123.php,8,7,00:00:05,7,85.71%,87.50%,$0.00
mwdl.org/collections/1314.php,8,6,00:00:20,5,100.00%,75.00%,$0.00
mwdl.org/collections/1949.php,8,1,00:00:16,0,0.00%,0.00%,$0.00
mwdl.org/collections/2146.php,8,3,00:00:24,3,33.33%,37.50%,$0.00
mwdl.org/partners/103.php,8,8,00:00:04,6,100.00%,87.50%,$0.00
mwdl.org/partners/117.php,8,6,00:06:55,6,50.00%,62.50%,$0.00
mwdl.org/partners/128.php,8,5,00:04:08,3,66.67%,50.00%,$0.00
test.mwdl.org/NewSite/collections/AmericanWestwardMigration.php,8,8,00:01:31,0,0.00%,37.50%,$0.00
mwdl.org/collections/1040.php,7,5,00:02:09,2,50.00%,42.86%,$0.00
mwdl.org/collections/1279.php,7,5,00:00:26,3,100.00%,42.86%,$0.00
mwdl.org/collections/2137.php,7,7,00:02:05,5,100.00%,71.43%,$0.00
mwdl.org/partners/369.php,7,4,00:00:33,2,0.00%,28.57%,$0.00
mwdl.org/collections/1002.php,6,4,00:00:39,2,50.00%,16.67%,$0.00
mwdl.org/collections/1005.php,6,6,00:00:00,6,100.00%,100.00%,$0.00
mwdl.org/collections/1030.php,6,4,00:00:10,0,0.00%,33.33%,$0.00
mwdl.org/collections/1112.php,6,3,00:00:33,1,0.00%,33.33%,$0.00
mwdl.org/collections/1168.php,6,5,00:00:10,4,75.00%,83.33%,$0.00
mwdl.org/collections/1240.php,6,6,00:00:00,6,100.00%,100.00%,$0.00
mwdl.org/collections/1321.php,6,1,00:00:23,0,0.00%,0.00%,$0.00
mwdl.org/collections/1834.php,6,4,00:00:31,3,66.67%,50.00%,$0.00
mwdl.org/collections/2145.php,6,6,00:00:00,6,100.00%,100.00%,$0.00
mwdl.org/partners/288.php,6,4,00:01:31,4,50.00%,66.67%,$0.00
mwdl.org/portals/ir_portal.php,6,6,00:02:23,0,0.00%,16.67%,$0.00
test.mwdl.org/index.html,6,5,00:00:21,0,0.00%,33.33%,$0.00
test.mwdl.org/NewSite/collections/pCollections.php,6,4,00:00:27,0,0.00%,16.67%,$0.00
mwdl.org/collections/1190.php,5,3,00:09:24,2,50.00%,40.00%,$0.00
mwdl.org/collections/1882.php,5,4,00:00:10,2,100.00%,60.00%,$0.00
mwdl.org/collections/2134.php,5,4,00:00:34,0,0.00%,0.00%,$0.00
mwdl.org/collections/2153.php,5,5,00:00:37,5,80.00%,80.00%,$0.00
mwdl.org/collections/2281.php,5,3,00:01:34,3,33.33%,60.00%,$0.00
mwdl.org/getinvolved/becomeMember.php,5,1,00:01:11,0,0.00%,0.00%,$0.00
mwdl.org/partners/217.php,5,3,00:00:28,3,66.67%,60.00%,$0.00
mwdl.org/portals/dcc.php,5,2,00:00:34,2,50.00%,40.00%,$0.00
test.mwdl.org/NewSite/portals/pioneers.php,5,3,00:02:01,0,0.00%,0.00%,$0.00
mwdl.org/aboutCollections.php/byInstitution/35,4,3,00:01:41,3,33.33%,50.00%,$0.00
mwdl.org/collections/1076.php,4,3,00:00:53,2,100.00%,50.00%,$0.00
mwdl.org/collections/1079.php,4,4,00:00:49,3,100.00%,75.00%,$0.00
mwdl.org/collections/1166.php,4,2,00:00:22,2,0.00%,50.00%,$0.00
mwdl.org/collections/1191.php,4,2,00:00:41,1,100.00%,25.00%,$0.00
mwdl.org/collections/1193.php,4,4,00:00:00,3,100.00%,100.00%,$0.00
mwdl.org/collections/1243.php,4,4,00:00:06,3,66.67%,50.00%,$0.00
mwdl.org/collections/1249.php,4,3,00:00:24,2,50.00%,50.00%,$0.00
mwdl.org/collections/1288.php,4,4,00:00:00,4,100.00%,100.00%,$0.00
mwdl.org/collections/1310.php,4,4,00:00:00,4,100.00%,100.00%,$0.00
mwdl.org/collections/1315.php,4,3,00:00:12,3,66.67%,75.00%,$0.00
mwdl.org/collections/1316.php,4,4,00:00:00,4,100.00%,100.00%,$0.00
mwdl.org/collections/1545.php,4,3,00:00:34,1,100.00%,25.00%,$0.00
mwdl.org/collections/1557.php,4,2,00:00:07,1,100.00%,25.00%,$0.00
mwdl.org/collections/1601.php,4,3,00:00:30,1,100.00%,25.00%,$0.00
mwdl.org/collections/1607.php,4,3,00:00:08,0,0.00%,0.00%,$0.00
mwdl.org/collections/1649.php,4,4,00:00:00,4,100.00%,100.00%,$0.00
mwdl.org/collections/1845.php,4,4,00:00:00,4,100.00%,100.00%,$0.00
