Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/index.php,"1,102",744,00:02:21,697,63.41%,54.26%,$0.00
www.mwdl.org/index.php,337,227,00:02:59,217,55.30%,52.82%,$0.00
mwdl.org/collections/1282.php,316,207,00:01:59,207,62.32%,61.71%,$0.00
mwdl.org/aboutCollections.php,253,139,00:00:53,45,60.00%,23.32%,$0.00
mwdl.org/collections/1038.php,141,50,00:02:25,50,46.00%,33.33%,$0.00
mwdl.org/about.php,121,84,00:01:30,18,50.00%,25.62%,$0.00
mwdl.org/aboutPartners.php,82,57,00:01:05,5,40.00%,15.85%,$0.00
mwdl.org/portals/portals.php,67,45,00:00:47,3,33.33%,13.43%,$0.00
mwdl.org/getinvolved/getinvolved.php,48,27,00:01:36,2,0.00%,16.67%,$0.00
www.mwdl.org/about.php,39,30,00:02:52,14,64.29%,43.59%,$0.00
mwdl.org/partners/119.php,38,19,00:02:19,15,53.33%,39.47%,$0.00
mwdl.org/collections/1014.php,35,16,00:03:02,16,43.75%,42.86%,$0.00
mwdl.org/collections/1050.php,35,33,00:02:04,32,93.75%,91.43%,$0.00
www.mwdl.org/aboutCollections.php,32,21,00:00:24,5,20.00%,21.88%,$0.00
mwdl.org/collections/1941.php,29,20,00:03:16,3,66.67%,27.59%,$0.00
test.mwdl.org/NewSite/collections/collections.php,28,16,00:00:16,2,0.00%,21.43%,$0.00
mwdl.org/collections/1249.php,26,12,00:00:36,12,33.33%,34.62%,$0.00
mwdl.org/collections/2153.php,26,16,00:00:51,14,64.29%,57.69%,$0.00
mwdl.org/getinvolved/policies.php,26,20,00:02:40,4,100.00%,50.00%,$0.00
mwdl.org/partners/136.php,25,17,00:02:56,13,61.54%,60.00%,$0.00
mwdl.org/about/faq.php,24,17,00:02:56,4,50.00%,41.67%,$0.00
mwdl.org/collections/1795.php,22,17,00:01:04,16,68.75%,68.18%,$0.00
mwdl.org/portals/pioneers.php,20,14,00:00:52,6,66.67%,35.00%,$0.00
mwdl.org/partners/117.php,19,9,00:02:35,8,50.00%,47.37%,$0.00
mwdl.org/portals/ead_portal.php,19,15,00:01:19,1,100.00%,31.58%,$0.00
mwdl.org/collections/1001.php,18,17,00:01:34,11,100.00%,77.78%,$0.00
mwdl.org/collections/1173.php,18,14,00:01:52,13,76.92%,72.22%,$0.00
mwdl.org/collections/2290.php,18,9,00:00:34,9,44.44%,50.00%,$0.00
mwdl.org/about/contact.php,17,17,00:02:00,5,100.00%,52.94%,$0.00
mwdl.org/collections/1158.php,17,14,00:02:19,10,70.00%,64.71%,$0.00
mwdl.org/partners/139.php,17,11,00:01:12,11,27.27%,35.29%,$0.00
www.mwdl.org/aboutPartners.php,17,13,00:00:18,2,0.00%,17.65%,$0.00
www.mwdl.org/getinvolved/getinvolved.php,17,10,00:00:11,0,0.00%,23.53%,$0.00
mwdl.org/collections/1208.php,15,13,00:04:06,13,84.62%,86.67%,$0.00
mwdl.org/collections/2096.php,14,10,00:00:40,10,70.00%,71.43%,$0.00
www.mwdl.org/getinvolved/policies.php,14,12,00:00:27,8,100.00%,71.43%,$0.00
mwdl.org/collections/1176.php,13,9,00:00:56,9,66.67%,61.54%,$0.00
mwdl.org/getinvolved/oai_queries.php,13,11,00:04:05,11,81.82%,84.62%,$0.00
mwdl.org/collections/1059.php,12,9,00:00:41,8,62.50%,75.00%,$0.00
mwdl.org/collections/1324.php,12,7,00:00:42,7,71.43%,58.33%,$0.00
mwdl.org/collections/1649.php,12,3,00:00:31,3,33.33%,25.00%,$0.00
mwdl.org/collections/1037.php,11,10,00:02:37,8,75.00%,63.64%,$0.00
