Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/index.php,842,544,00:02:48,513,58.28%,52.14%,$0.00
mwdl.org/collections/1282.php,250,155,00:01:44,155,57.42%,58.40%,$0.00
mwdl.org/aboutCollections.php,247,145,00:00:46,56,37.50%,21.46%,$0.00
www.mwdl.org/index.php,226,142,00:03:08,138,58.70%,53.54%,$0.00
mwdl.org/collections/1038.php,137,71,00:02:08,64,50.00%,45.26%,$0.00
mwdl.org/about.php,84,60,00:01:26,9,66.67%,22.62%,$0.00
mwdl.org/aboutPartners.php,73,49,00:00:56,4,25.00%,19.18%,$0.00
mwdl.org/getinvolved/getinvolved.php,64,43,00:01:20,16,56.25%,35.94%,$0.00
mwdl.org/collections/1050.php,57,48,00:03:43,47,89.36%,82.46%,$0.00
mwdl.org/getinvolved/policies.php,50,47,00:02:46,31,96.77%,80.00%,$0.00
mwdl.org/collections/1795.php,44,26,00:04:00,26,53.85%,54.55%,$0.00
mwdl.org/partners/119.php,41,25,00:01:07,16,56.25%,39.02%,$0.00
mwdl.org/portals/portals.php,36,27,00:00:28,1,0.00%,0.00%,$0.00
mwdl.org/collections/2096.php,35,21,00:00:40,20,55.00%,57.14%,$0.00
mwdl.org/collections/1173.php,34,23,00:04:54,23,65.22%,67.65%,$0.00
mwdlnews.blogspot.com/2017/08/normal-0-false-false-false-en-us-x-none.html?m=1,28,16,00:01:55,16,56.25%,53.57%,$0.00
mwdl.org/collections/1176.php,27,2,00:00:59,2,50.00%,7.41%,$0.00
mwdl.org/collections/1068.php,26,13,00:03:35,7,42.86%,46.15%,$0.00
mwdl.org/collections/1208.php,25,13,00:03:09,13,69.23%,48.00%,$0.00
mwdl.org/collections/1037.php,22,15,00:00:41,14,85.71%,63.64%,$0.00
mwdl.org/collections/2155.php,22,13,00:00:49,13,46.15%,50.00%,$0.00
mwdl.org/collections/1158.php,20,15,00:01:04,15,73.33%,70.00%,$0.00
mwdl.org/collections/2137.php,19,16,00:01:31,16,81.25%,84.21%,$0.00
mwdl.org/partners/117.php,19,10,00:03:22,10,50.00%,47.37%,$0.00
mwdl.org/partners/136.php,19,16,00:00:32,12,91.67%,68.42%,$0.00
mwdl.org/partners/139.php,18,10,00:03:26,10,30.00%,44.44%,$0.00
mwdl.org/collections/1014.php,17,10,00:03:25,9,55.56%,47.06%,$0.00
mwdl.org/getinvolved/guidelines.php,17,15,00:01:09,12,83.33%,70.59%,$0.00
mwdlnews.blogspot.com/index.php?m=1,17,10,00:00:29,9,66.67%,58.82%,$0.00
mwdl.org/collections/1006.php,16,9,00:10:20,9,44.44%,43.75%,$0.00
mwdl.org/collections/1310.php,15,6,00:04:01,4,50.00%,33.33%,$0.00
mwdl.org/about/contact.php,14,11,00:00:20,2,50.00%,57.14%,$0.00
mwdl.org/collections/1123.php,14,9,00:00:13,9,77.78%,64.29%,$0.00
mwdl.org/collections/1279.php,14,7,00:03:20,3,33.33%,35.71%,$0.00
mwdl.org/maps/maps.php,14,7,00:00:13,1,100.00%,28.57%,$0.00
mwdl.org/getinvolved/becomeMember.php,13,9,00:00:24,3,0.00%,7.69%,$0.00
mwdl.org/getinvolved/repository_setup.php,13,11,00:02:34,3,100.00%,38.46%,$0.00
mwdl.org/collections/1157.php,12,8,00:00:24,8,37.50%,50.00%,$0.00
mwdl.org/collections/1941.php,12,8,00:00:22,0,0.00%,16.67%,$0.00
mwdl.org/collections/2145.php,12,6,00:03:07,6,66.67%,50.00%,$0.00
mwdl.org/events/events.php,12,9,00:00:12,9,55.56%,66.67%,$0.00
mwdl.org/getinvolved/oai_queries.php,12,12,00:12:34,9,88.89%,83.33%,$0.00
