Partner Number, Passed Inspection, Note, Name, Link, Text, Image Name, Image Height, Image Length, Image Description
113,FALSE,Partner 113 has too few elements to be parsed.,,,,,,,
134,FALSE,Could not retrieve collection: 134.php,,,,,,,
145,FALSE,Could not retrieve collection: 145.php,,,,,,,
148,FALSE,Could not retrieve collection: 148.php,,,,,,,
150,FALSE,Could not retrieve collection: 150.php,,,,,,,
152,FALSE,Could not retrieve collection: 152.php,,,,,,,
153,FALSE,Could not retrieve collection: 153.php,,,,,,,
154,FALSE,Could not retrieve collection: 154.php,,,,,,,
155,FALSE,Could not retrieve collection: 155.php,,,,,,,
156,FALSE,Could not retrieve collection: 156.php,,,,,,,
157,FALSE,Could not retrieve collection: 157.php,,,,,,,
158,FALSE,Could not retrieve collection: 158.php,,,,,,,
159,FALSE,Could not retrieve collection: 159.php,,,,,,,
160,FALSE,Could not retrieve collection: 160.php,,,,,,,
161,FALSE,Could not retrieve collection: 161.php,,,,,,,
162,FALSE,Could not retrieve collection: 162.php,,,,,,,
163,FALSE,Could not retrieve collection: 163.php,,,,,,,
164,FALSE,Could not retrieve collection: 164.php,,,,,,,
165,FALSE,Could not retrieve collection: 165.php,,,,,,,
166,FALSE,Could not retrieve collection: 166.php,,,,,,,
167,FALSE,Could not retrieve collection: 167.php,,,,,,,
168,FALSE,Could not retrieve collection: 168.php,,,,,,,
169,FALSE,Could not retrieve collection: 169.php,,,,,,,
170,FALSE,Could not retrieve collection: 170.php,,,,,,,
171,FALSE,Could not retrieve collection: 171.php,,,,,,,
172,FALSE,Could not retrieve collection: 172.php,,,,,,,
173,FALSE,Could not retrieve collection: 173.php,,,,,,,
174,FALSE,Could not retrieve collection: 174.php,,,,,,,
175,FALSE,Could not retrieve collection: 175.php,,,,,,,
176,FALSE,Could not retrieve collection: 176.php,,,,,,,
177,FALSE,Could not retrieve collection: 177.php,,,,,,,
178,FALSE,Could not retrieve collection: 178.php,,,,,,,
179,FALSE,Could not retrieve collection: 179.php,,,,,,,
180,FALSE,Could not retrieve collection: 180.php,,,,,,,
181,FALSE,Could not retrieve collection: 181.php,,,,,,,
182,FALSE,Could not retrieve collection: 182.php,,,,,,,
183,FALSE,Could not retrieve collection: 183.php,,,,,,,
184,FALSE,Could not retrieve collection: 184.php,,,,,,,
185,FALSE,Could not retrieve collection: 185.php,,,,,,,
186,FALSE,Could not retrieve collection: 186.php,,,,,,,
187,FALSE,Could not retrieve collection: 187.php,,,,,,,
188,FALSE,Could not retrieve collection: 188.php,,,,,,,
189,FALSE,Could not retrieve collection: 189.php,,,,,,,
190,FALSE,Could not retrieve collection: 190.php,,,,,,,
191,FALSE,Could not retrieve collection: 191.php,,,,,,,
192,FALSE,Could not retrieve collection: 192.php,,,,,,,
193,FALSE,Could not retrieve collection: 193.php,,,,,,,
194,FALSE,Could not retrieve collection: 194.php,,,,,,,
195,FALSE,Could not retrieve collection: 195.php,,,,,,,
196,FALSE,Could not retrieve collection: 196.php,,,,,,,
197,FALSE,Could not retrieve collection: 197.php,,,,,,,
198,FALSE,Could not retrieve collection: 198.php,,,,,,,
199,FALSE,Could not retrieve collection: 199.php,,,,,,,
204,FALSE,Could not retrieve collection: 204.php,,,,,,,
209,FALSE,Could not retrieve collection: 209.php,,,,,,,
210,FALSE,Could not retrieve collection: 210.php,,,,,,,
211,FALSE,Could not retrieve collection: 211.php,,,,,,,
212,FALSE,Could not retrieve collection: 212.php,,,,,,,
214,FALSE,Could not retrieve collection: 214.php,,,,,,,
219,FALSE,Could not retrieve collection: 219.php,,,,,,,
220,FALSE,Could not retrieve collection: 220.php,,,,,,,
222,FALSE,Could not retrieve collection: 222.php,,,,,,,
290,FALSE,Could not retrieve collection: 290.php,,,,,,,
295,FALSE,Could not retrieve collection: 295.php,,,,,,,
296,FALSE,Could not retrieve collection: 296.php,,,,,,,
310,FALSE,Could not retrieve collection: 310.php,,,,,,,
346,FALSE,Could not retrieve collection: 346.php,,,,,,,
366,FALSE,Could not retrieve collection: 366.php,,,,,,,
367,FALSE,Could not retrieve collection: 367.php,,,,,,,
368,FALSE,Could not retrieve collection: 368.php,,,,,,,
101,TRUE,,University of Utah - J. Willard Marriott Library,http://www.lib.utah.edu/,"%newline%<p>The J. Willard Marriott Library at the University of Utah provides research tools%comma% collections and services for students%comma% faculty and researchers. At the J. Willard Marriott Library%comma% we teach our students to be ""smart for life%comma%"" with a solid grounding in critical thinking that will serve them their entire lives. Clearly%comma% libraries have become agents of transformation%comma% development%comma% growth%comma% and opportunity.</p>%newline%<p>Additionally%comma% the Marriott Library is an active participant in the U Signature Experience initiative%comma% which was established with the mission to invigorate students' college experience through exemplary extra-curricular programs. We offer a host of lectures%comma% workshops%comma% and exhibitions%comma% as well as scholarships and internships in which students attain real-world work experience. And%comma% as always%comma% we work with faculty across campus in integrating our collections into coursework to enrich learning.</p>%newline%",partner101.jpg,190,364,
102,TRUE,,Brigham Young University - Harold B. Lee Library,http://lib.byu.edu/,%newline%<p>Located in the center of the Brigham Young University campus%comma% The Harold B. Lee Library (HBLL) collection numbers over eight million volumes. The library's Digital Initiatives program constantly adds new online content to its collections. The Web-based catalog contains numerous full-text databases and many electronic indexes to other sources. The library provides thousands of seats for research at tables%comma% on soft chairs%comma% and in group study.</p>%newline%,partner102.jpg,268,377,
103,TRUE,,Utah State University - Merrill-Cazier Library,http://library.usu.edu//,%newline%<p>The Merrill-Cazier Library%comma% the main library at Utah State University in Logan%comma% Utah%comma% serves the research interests of faculty and students on the Logan campus%comma% as well as extension agents throughout the state and distance students and faculty at 30 Education Centers outside the Cache Valley.</p>%newline%<p>The Merrill-Cazier Library contains over 1%comma%505%comma%000 total volumes%comma% including 620%comma%800 books%comma% 300%comma%370 government documents%comma% over 100%comma%000 maps%comma% 12%comma%760 current serial subscriptions%comma% and access to over 200 bibliographic%comma% fulltext%comma% and informational databases. The Library is a regional depository of U.S. government publications%comma% and%comma% thus%comma% has extensive holdings of U.S. agency documents%comma% maps%comma% and periodicals.</p>%newline%,partner103.jpg,267,384,
104,TRUE,,University of Nevada%comma% Las Vegas%comma% University Libraries,http://digital.library.unlv.edu/,%newline%<p>Since its first classes were held on campus in 1957%comma% UNLV has transformed itself from a small branch college into a thriving urban research institution of more than 28%comma%000 students and 3%comma%100 faculty and staff. Along the way%comma% the urban university has become an indispensable resource in one of the country's fastest-growing and most enterprising cities</p>%newline%,partner104.jpg,212,371,
105,TRUE,,University of Nevada%comma% Reno%comma% University Libraries,http://www.knowledgecenter.unr.edu,%newline%<p>The University of Nevada%comma% Reno Libraries system includes three libraries: the Mathewson-IGT Knowledge Center%comma% the DeLaMare Library%comma% and the Savitt Medical Library. The Knowledge Center was opened in 2008 and is one of the most technologically advanced libraries in the world. The 300%comma%000 square foot classical red brick building mirrors the architecture of much of the rest of the UNR campus which was established in Reno in 1885. Spectacular mountain and city views are available from every angle. The 21%comma%000 square foot Savitt Medical Library was opened in 2001 and is the only academic medical library in the state with holdings of more than 60%comma%000 volumes. The 22%comma%500 square foot%comma% 100%comma%000+ volume DeLaMare Library was opened in 1997 in the renovated Mackay Mines Building.</p><p>Collections from this partner:</p>,partner105.jpg,239,351,
106,TRUE,,Weber State University - Stewart Library,http://library.weber.edu/,%newline%<p>Weber State University was founded in Ogden%comma% Utah as Weber Stake Academy in 1889. Like Weber County and the Weber River%comma% the school was named after John Henry Weber%comma% an early fur trader. In 1933%comma% the academy was made a state junior college. Following World War II%comma% the college outgrew its downtown campus and moved to the present site on the foothills of the Wasatch Mountains overlooking Ogden and the Great Salt Lake. Our growing collection includes 458%comma%115 bound volumes and 190%comma%628 electronic resources. Students%comma% staff and faculty have remote access to the library; some classes are taught in the library%comma% and the honors program is housed there.</p>,partner106.jpg,271,362,
107,TRUE,,Utah State Archives,http://www.archives.state.ut.us/,%newline%<p>The Utah State Archives and Records Service is a state government agency that works with records created by other state and local governmental entities in Utah. Records of historical value are housed in our permanent collections and are available for research. We also facilitate good records management practices within agencies.</p>%newline%,partner107.jpg,258,387,
108,TRUE,,Brigham Young University-Idaho,http://www.byui.edu/,%newline%<p>Brigham Young University-Idaho is a private%comma% four-year university affiliated with The Church of Jesus Christ of Latter-day Saints. Guided by that affiliation%comma% BYU-Idaho seeks to create a wholesome learning environment in which students can strengthen their commitment to their faith and receive a quality education that prepares them for leadership in the home%comma% the community%comma% and the workplace. With an enrollment of nearly 15%comma%000 students%comma% it is the largest private university in Idaho.</p>,partner108.jpg,237,357,
109,TRUE,,Delta (UT) City Library,http://stacksntracks.lib.ut.us/Delta%20City%20Library.htm,%newline%<p>Photographs and scrapbooks by Frank Asahel Beckwith%comma% editor and publisher of the Millard County Chronicle from 1919-1951. Mr. Beckwith was an amateur geologist and anthropologist and his photographs depict Utah landscapes and Native Americans.</p>%newline%,partner109.jpg,193,386,
110,TRUE,,University of Utah - Spencer S. Eccles Health Sciences Library,http://library.med.utah.edu/,%newline%<p>The mission of the Spencer S. Eccles Health Sciences Library is to advance education%comma% research%comma% and health care through information access%comma% service and innovation. The library serves the educational%comma% research%comma% and clinical needs of health professionals%comma% students and researchers at the Health Sciences Center%comma% the University of Utah%comma% the State of Utah and of the Internet.</p>%newline%,partner110.jpg,242,377,
111,TRUE,,Great Basin Association,http://content.lib.utah.edu/cdm4/az_details.php?id=49,%newline%<p>The Great Basin Association maintains this photo collection of Great Basin National Park. Located in Eastern Nevada%comma% the once-thought barren area is full of unique wildlife and geological formations. This collection contains a number of antiquated photos%comma% depicting early developments in the National Park%comma% as well as contemporary photos of its landscape and park facilities.</p>,partner111.jpg,218,317,
112,TRUE,,Murray (UT) Museum,http://www.point1.us/T_UT_Murray_Museum/Index_MurrayMuseumTour.html,"%newline%<p>A wide-ranging collection of nearly 3%comma%000 photographs from the Murray City (Utah) Museum depicting a general history of Murray from the early 20th to early 21st centuries. Topics and events portrayed in the photos include early pioneers%comma% city mayors and other prominent citizens%comma% city buildings and schools%comma% the Murray fire department%comma% 1983 flood%comma% Jordan River Parkway%comma% construction along State Street%comma% just to name a few.</p>%newline%<p> <a href=""http://content.lib.utah.edu/cdm4/item_viewer.php?CISOROOT=/mcm&CISOPTR=999&CISOBOX=1&REC=6"" target=""_blank"" ref=""http://content.lib.utah.edu/cdm4/item_viewer.php?CISOROOT=/mcm&CISOPTR=999&CISOBOX=1&REC=6"">1910 Car<br> </a>Murray (UT) Museum</p>%newline%<p>Search within the records from this partner:</p>%newline%",partner112.jpg,232,379,
114,TRUE,,Park City (UT) Historical Society & Museum,http://www.parkcityhistory.org/,"<p><a href=""http://www.parkcityhistory.org/"" target=""_blank"">Park City (UT) Historical Society & Museum Website</a></p>%newline%<p>The Park City Historical Society and Museum is a non-profit organization dedicated to preserving%comma% protecting and promoting Park City's history and heritage.</p>%newline%<p>%newline% <!--End straight text --> <strong>Park City Museum</strong></p>%newline%<p>Search within the records from this partner:</p>%newline%",partner114.jpg,253,180,
115,TRUE,,Snow College Libraries,http://www.lib.snow.edu/,%newline%<p>The Snow College Libraries are dedicated to providing an environment where learning occurs. As the intellectual and social center for both the Ephraim and Richfield campuses%comma% the library is a place where intellectual communities are formed and where students can find a place for study and creativity. The libraries serve as a collaborative center for learning%comma% and are a leader on campus for state of the art technology for students. The library provides research instruction and quality curriculum supporting information sources in the most appropriate formats. Space%comma% equipment and support are provided for student projects.</p>%newline%<p>Snow College's Karen H. Huntsman Library on the Ephraim campus hosts the . MPHI provides training and technical support to libraries%comma% archives%comma% museums%comma% and historical societies in the Mormon Pioneer National Heritage Area of central-southern Utah%comma% so that they can have important historical documents and photographs digitally scanned%comma% making copies that will be available to the public while leaving the originals in the safekeeping of owners. </p>%newline%<p>Mormon Pioneer Heritage Institute partners:</p>,partner115.jpg,180,240,
116,TRUE,,Topaz Museum (Delta%comma% UT),http://www.topazmuseum.org/,%newline%<p>During World War II over 100%comma%000 people of Japanese ancestry were forced from their homes on the Pacific coast into ten internment camps scattered throughout the United States. Topaz was a camp located 16 miles outside of Delta%comma% Utah. The camp opened on Sept. 11%comma% 1942 and closed on Oct. 31%comma% 1945. While in operation%comma% over 11%comma%000 people were processed through Topaz by the War Relocation Authority. Most of the people confined in Topaz came from the Bay Area%comma% and two-thirds were American citizens. This collection of photographs was donated to the Topaz Museum by Emil and Eleanor Gerard Sekerak%comma% who both worked at the camp. For more digital resources see the Topaz Museum website at .</p>%newline%<p><strong>The Topaz Japanese American WWII Internment Camp</strong></p>%newline%<p>Search within the records from this partner:</p>%newline%,partner116.jpg,251,362,
117,TRUE,,Uintah County (UT) Library,http://www.uintah.lib.ut.us/,%newline%<p>The Regional History Center is dedicated to collecting%comma% preserving and making available biographies%comma% histories%comma% county records%comma% newspapers%comma% maps%comma% and photographs of the Uinta Basin Region. The Regional History Center is a one of a kind center in the state of Utah and the western states region. The Regional History Center has three photo collections. The Regional History Collection is made up of photos given to the center by various donors%comma% the Vernal Express Collection is photographs that were in the local newspaper%comma% and the Thorne Collection is a large collection from early photographer Leo Thorne.</p>%newline%<p>&nbsp;</p>%newline%,partner117.jpg,242,365,
118,TRUE,,University of Utah - Utah Museum of Fine Arts,http://umfa.utah.edu/,%newline%<p>The Utah Museum of Fine Arts is located on the campus of the University of Utah. In total the museum holds over 17%comma%000 objects including paintings%comma% drawings%comma% etchings%comma% photography%comma% and mixed media materials from acclaimed artists around the world.</p>%newline%,partner118.jpg,194,259,
119,TRUE,,Department of Heritage and Arts,http://history.utah.gov/,%newline%<p>This extensive set of unique collections from the Department of Heritage and Arts contains tens of thousands of photographs depicting important parts of Utah history. We are located in the 1910 Rio Grande Depot in Salt Lake City.</p>%newline%,partner119.jpg,286,366,
120,TRUE,,Utah State Library,http://library.utah.gov/,%newline%<p>The Utah State Library%comma% created in 1957%comma% works to develop%comma% advance%comma% and promote library services and equal access to information and library resources to all Utah residents.</p>%newline%,partner120.jpg,233,383,
121,TRUE,,Utah Valley University Library,http://www.uvu.edu/library/,"%newline%<p>Utah Valley University%comma% located in Orem%comma% Utah%comma% has evolved from its beginnings as the Central Utah Vocational School in 1941%comma% with 317 students%comma% to a university with over 32%comma%000 students. In addition to 57 baccalaureate programs%comma% UVU now offers master degrees in education%comma% nursing%comma% and business administration%comma% and still remains committed to career and technical programs. UVU's emphasis on teaching and engaged learning led to its classification as ""community engaged"" by the Carnegie Foundation.</p>%newline%<p>The 200%comma%000 square foot Utah Valley University Library opened in July of 2008%comma% becoming Utah's ""greenest"" state-owned building. Along with state-of-the-art research resources and technology%comma% the Library is also home to the George Sutherland Archives%comma% which collects materials dealing with the history and scholarly output of UVU%comma% as well as those which document the history of the surrounding area and communities. Most of the digitized materials in the Utah Valley University Library collection of the Mountain West Digital Library are from the George Sutherland Archives. </p>%newline%",partner121.jpg,240,361,
122,TRUE,,Westminster College - Giovale Library,http://westminstercollege.edu/library/#page=catalog,%newline%<p>Westminster College's digital collections contain photos and textual works regarding the history of the college and early religious movements in the area.</p>%newline%,partner122.jpg,207,381,
123,TRUE,,Southern Utah University - Sherratt Library,http://www.li.suu.edu/,%newline%<p>The Sherratt Library acquires and provides access to materials related to Southern Utah University's history and archives; culture and history of southwestern Utah with a focus on settlement%comma% communities%comma% national parks and monuments%comma% and national forests in the area; Native Americans with emphasis on the Southern Paiutes; trails and pioneer settlement of the west; and 20th century culture and industry%comma% such as iron mining%comma% coming of the railroad%comma% Utah Shakespearean Festival%comma% Utah Parks Company%comma% Southwest Utah Livestock Association%comma% and Cedar Livestock and Heritage Festival. </p>%newline%,partner123.jpg,245,341,
