Collection Number,Passed Inspection,Note,Title,URL Title,Publisher,Article Text,Article Image,AMP Image Version,Image Description,Browse Link
1002,false,1002.php has been marked for review (Null image) (Null image description) (Null Article Text),Aztec Codices,AztecCodices,Published by <a href="../partners/101.php">University of Utah - J. Willard Marriott Library</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Aztec+Codices">Browse all records in Aztec Codices</a></p>,
1003,false,1003.php has been marked for review (Null image) (Null image description) (Null Article Text),Caesaris,Caesaris,Published by <a href="../partners/101.php">University of Utah - J. Willard Marriott Library</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Caesaris">Browse all records in Caesaris</a></p>,
1056,false,1056.php has been marked for review (Null image) (Null image description) (Null Article Text),Brigham Young University-Idaho Oral Histories,BrighamYoungUniversityIdahoOralHistories,Published by <a href="../partners/108.php">Brigham Young University-Idaho</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Brigham+Young+University-Idaho+Oral+Histories">Browse all records in Brigham Young University-Idaho Oral Histories</a></p>,
1057,false,1057.php has been marked for review (Null image) (Null image description) (Null Article Text),Brigham Young University-Idaho Student Rays,BrighamYoungUniversityIdahoStudentRays,Published by <a href="../partners/108.php">Brigham Young University-Idaho</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Brigham+Young+University-Idaho+Student+Rays">Browse all records in Brigham Young University-Idaho Student Rays</a></p>,
1069,false,1069.php has been marked for review (Null image) (Null Article Text),Historic Ricks College Viking Scroll 1,HistoricRicksCollegeVikingScroll1,Published by <a href="../partners/108.php">Brigham Young University-Idaho</a>,</p>%newline%,,,<a href="1070.php">Historic Ricks College Viking Scroll 2</a>,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Historic+Ricks+College+Viking+Scroll+1">Browse all records in Historic Ricks College Viking Scroll 1</a></p>,
1070,false,1070.php has been marked for review (Null image) (Null Article Text),Historic Ricks College Viking Scroll 2,HistoricRicksCollegeVikingScroll2,Published by <a href="../partners/108.php">Brigham Young University-Idaho</a>,</p>%newline%,,,<a href="1069.php">Historic Ricks College Viking Scroll 1</a>,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Historic+Ricks+College+Viking+Scroll+2">Browse all records in Historic Ricks College Viking Scroll 2</a></p>,
1080,false,1080.php has been marked for review (Null partner) (Null image) (Null browse link),Brigham Young University-Idaho Miscellaneous Books,BrighamYoungUniversityIdahoMiscellaneousBooks,Published by Brigham Young University-Idaho,</p>%newline%<p style="font-size:18px">This collection is no longer available in the Mountain West Digital Library but can be found in Brigham Young University's Digital Collections at </p>%newline%,,,<a href="http://contentdm.lib.byu.edu/cdm/search/collection/MiscellaneousBooks">http://contentdm.lib.byu.edu/cdm/search/collection/MiscellaneousBooks</a>,,
1083,false,1083.php has been marked for review (Null partner) (Null browse link),New World Archaeological Foundation,NewWorldArchaeologicalFoundation,Published by Brigham Young University - Harold B. Lee Library,</p>%newline%The NWAF papers are reports of field work and of studies of subjects related to Mesoamerican (southern Mexico%comma% Guatemala%comma% Belize%comma% El Salvador and western Honduras) archaeology. The Papers are written by archaeologists as reports of their work. The Papers are published irregularly as the reports are completed.</p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/compoundobject/collection/NWAF/id/15410/rec/14" target="_blank">Early Complex Society in Pacific Guatemala<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%<p style="font-size:18px"> This collection is no longer available in Mountain West Digital Library but can be found in Brigham Young University's Digital Collections at </p>%newline%<p style="font-size:18px"><a href="http://lib.byu.edu/digital/nwaf/">http://lib.byu.edu/digital/nwaf/ </a><a href="http://lib.byu.edu/digital/nwaf/"></a></p>,<img src="../images/collection_images/collection1083.jpg" alt="Early Complex Society in Pacific Guatemala" width="306" height="437" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1083.jpg" alt="Early Complex Society in Pacific Guatemala" width="306" height="437" layout = "responsive"></amp-img>,<a href="http://contentdm.lib.byu.edu/cdm/compoundobject/collection/NWAF/id/15410/rec/14" target="_blank">Early Complex Society in Pacific Guatemala<br> </a>%newline%<a href="http://lib.byu.edu/digital/nwaf/">http://lib.byu.edu/digital/nwaf/ </a>%newline%<a href="http://lib.byu.edu/digital/nwaf/"></a>,,
1084,false,1084.php has been marked for review (Null partner) (Null image) (Null image description) (Null browse link),Nineteenth Century Mormon Publications: 1847 to 1877,NineteenthCenturyMormonPublications1847to1877,Published by Brigham Young University - Harold B. Lee Library,<p></p>%newline%<p>%newline% <!--            No Description 1-23-13 %return%%newline%--> </p>%newline%<p style="font-size:18px"> This collection is no longer available. </p>,,,,,
1085,false,1085.php has been marked for review (Null image) (Null Article Text),Mormon Publications: 19th and 20th Centuries,MormonPublications19thand20thCenturies,Published by <a href="../partners/102.php">Brigham Young University - Harold B. Lee Library</a>,</p>%newline%,,,<a href="1084.php">Nineteenth Century Mormon Publications: 1847 to 1877</a>,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Mormon+Publications:+19th+and+20th+Centuries">Browse all records in Mormon Publications: 19th and 20th Centuries</a></p>,
