Collection Number,Passed Inspection,Note,Title,Publisher,Article Text,Article Image,Image Height,Image Length,Image Description,,,,,,,,,,,
2332,TRUE,,MS 021 Yellowstone National Park,Buffalo Bill Center of the West - McCracken Research Library,The Yellowstone National Park Collection consists of publications%comma% memorabilia%comma% souvenirs%comma% academic publications%comma% correspondence%comma% photographic media%comma% illustrations%comma% postcards%comma% and correspondence related to the park and its inception%comma% existence%comma% and development.,collection2332.jpg,,,Fountain Hotel and Leather Pool,,,,,,,,,,,
2333,TRUE,,MS 32 - Edward Becker Collection of Indian Photographs,Buffalo Bill Center of the West - McCracken Research Library,Black-and-white photograph album of Edward Becker of American Indians living in Crow Agency%comma% MT in 1898. Becker received a Presidential appointment to serve as Crow Indian Agent in 1898%comma% and his appointment document is included.,collection2333.jpg,,,Edward Becker Photograph Album Cover,,,,,,,,,,,
2334,TRUE,,MS 25 - Coburn Collection,Buffalo Bill Center of the West - McCracken Research Library,"This collection contains the booklet The Battle of the Little Big Horn by Wallace David Coburn and a manuscript written in pencil in a spiral notepad by ""...the last of the Coburn boys...""",collection2334.png,,,Personal handwritten notebook of Wallace David Coburn,,,,,,,,,,,
2335,TRUE,,MS 228 - Buffalo Bill Museum Photographs,Buffalo Bill Center of the West - McCracken Research Library,"Photograph collection of over 400 images depicting historic Cody%comma% WY%comma% William ""Buffalo Bill"" Cody%comma% and the original Buffalo Bill Museum.",collection2335.jpg,,,Cody%comma% Wyoming,,,,,,,,,,,
1001,TRUE,,American Westward Migration,University of Utah - J. Willard Marriott Library,</p>%newline%Diaries%comma% maps and trails of Mormon pioneers and their westward migration in the 1850s. Diaries include Joseph C. Kingsbury%comma% George A. Thomas%comma% John B. Fairbanks%comma% Joseph A. Young%comma% and Lucia Lamb Everett.</p>%newline%,collection1001.jpg,258,366,Bancroft's map of California%comma% Nevada%comma% Utah and Arizona,,,,,,,,,,,
1002,FALSE,1002.php has been marked for review (Null image) (Null image description) (Null Article Text),Aztec Codices,University of Utah - J. Willard Marriott Library,<p></p>%newline%</p>,,,,,,,,,,,,,,,
1003,FALSE,1003.php has been marked for review (Null image) (Null image description) (Null Article Text),Caesaris,University of Utah - J. Willard Marriott Library,<p></p>%newline%</p>,,,,,,,,,,,,,,,
1004,TRUE,,Colorado Riverbed Case,University of Utah - J. Willard Marriott Library,</p>%newline%Transcripts of the Colorado Riverbed Case. This case grew out of a desire by the State of Utah to determine who owned the bed of the Colorado River. Utah wanted to drill for oil and for other economic purposes in the bed of the river%comma% but it first had to be determined who owned it%comma% Utah or the United States. This hinged on whether the Colorado could be declared a navigable or a non-navigable river. The U.S. Supreme Court began acquiring testimony in October 1929. The final decree was issued in 1931%comma% giving possession of the riverbed to the United States in non-navigable sections of the river in Utah. Possession of the riverbed in navigable sections of the basin was given to the State of Utah.</p>%newline%,collection1004.jpg,433,301,United States%comma% Complainant vs. the State of Utah%comma% 1931,,,,,,,,,,,
1005,TRUE,,Dard Hunter Book Collection,University of Utah - J. Willard Marriott Library,</p>%newline%Dard Hunter (1883-1966) dedicated his life to researching%comma% collecting%comma% and writing books on papermaking throughout the world. He also published his own exquisite handmade books on the subject. This digital presentation is drawn from the holdings of the Marriott Library%comma% which has one of the largest Dard Hunter collections in the world.</p>%newline%,collection1005.jpg,449,320,Papermaking By Hand In America,,,,,,,,,,,
1006,TRUE,,Frank Beckwith Collection,Delta (UT) City Library,</p>%newline%Photographs and scrapbooks by Frank Asahel Beckwith%comma% editor and publisher of the Millard County Chronicle from 1919-1951. Mr. Beckwith was an amateur geologist and anthropologist and his photographs depict Utah landscapes and Native Americans.</p>%newline%,collection1006.jpg,425,295,Beckwith%comma% Frank A,,,,,,,,,,,
