Partner Name, Partner Link 
"University of Utah - J. Willard Marriott Library",http://test.mwdl.org/partners/UniversityofUtahJWillardMarriottLibrary.php
"Brigham Young University - Harold B. Lee Library",http://test.mwdl.org/partners/BrighamYoungUniversityHaroldBLeeLibrary.php
"Utah State University - Merrill-Cazier Library",http://test.mwdl.org/partners/UtahStateUniversityMerrillCazierLibrary.php
"University of Nevada, Las Vegas, University Libraries",http://test.mwdl.org/partners/UniversityofNevadaLasVegasUniversityLibraries.php
"University of Nevada, Reno, University Libraries",http://test.mwdl.org/partners/UniversityofNevadaRenoUniversityLibraries.php
"Weber State University - Stewart Library",http://test.mwdl.org/partners/WeberStateUniversityStewartLibrary.php
"Utah State Archives",http://test.mwdl.org/partners/UtahStateArchives.php
"Brigham Young University-Idaho",http://test.mwdl.org/partners/BrighamYoungUniversityIdaho.php
"Delta (UT) City Library",http://test.mwdl.org/partners/DeltaUTCityLibrary.php
"University of Utah - Spencer S. Eccles Health Sciences Library",http://test.mwdl.org/partners/UniversityofUtahSpencerSEcclesHealthSciencesLibrary.php
"Great Basin Association",http://test.mwdl.org/partners/GreatBasinAssociation.php
"Murray (UT) Museum",http://test.mwdl.org/partners/MurrayUTMuseum.php
"Park City (UT) Historical Society & Museum",http://test.mwdl.org/partners/ParkCityUTHistoricalSociety&Museum.php
"Snow College Libraries",http://test.mwdl.org/partners/SnowCollegeLibraries.php
"Topaz Museum (Delta, UT)",http://test.mwdl.org/partners/TopazMuseumDeltaUT.php
"Uintah County (UT) Library",http://test.mwdl.org/partners/UintahCountyUTLibrary.php
"University of Utah - Utah Museum of Fine Arts",http://test.mwdl.org/partners/UniversityofUtahUtahMuseumofFineArts.php
"Department of Heritage and Arts",http://test.mwdl.org/partners/DepartmentofHeritageandArts.php
"Utah State Library",http://test.mwdl.org/partners/UtahStateLibrary.php
"Utah Valley University Library",http://test.mwdl.org/partners/UtahValleyUniversityLibrary.php
"Westminster College - Giovale Library",http://test.mwdl.org/partners/WestminsterCollegeGiovaleLibrary.php
"Southern Utah University - Sherratt Library",http://test.mwdl.org/partners/SouthernUtahUniversitySherrattLibrary.php
"Green River (UT) Public Library",http://test.mwdl.org/partners/GreenRiverUTPublicLibrary.php
"Dialogue Foundation",http://test.mwdl.org/partners/DialogueFoundation.php
"Green River (UT)",http://test.mwdl.org/partners/GreenRiverUT.php
"North Bingham County (ID) District Library",http://test.mwdl.org/partners/NorthBinghamCountyIDDistrictLibrary.php
"Brigham Young University-Hawaii",http://test.mwdl.org/partners/BrighamYoungUniversityHawaii.php
"U.S. Forest Service, Dixie National Forest",http://test.mwdl.org/partners/USForestServiceDixieNationalForest.php
"Salt Lake Community College Libraries",http://test.mwdl.org/partners/SaltLakeCommunityCollegeLibraries.php
"University of Utah - James E. Faust Law Library",http://test.mwdl.org/partners/UniversityofUtahJamesEFaustLawLibrary.php
"Emery County (UT) Archives",http://test.mwdl.org/partners/EmeryCountyUTArchives.php
"Utah Council of Land Surveyors",http://test.mwdl.org/partners/UtahCouncilofLandSurveyors.php
"Provo (UT) City",http://test.mwdl.org/partners/ProvoUTCity.php
"Provo (UT) City Library",http://test.mwdl.org/partners/ProvoUTCityLibrary.php
"University of Utah - American West Center",http://test.mwdl.org/partners/UniversityofUtahAmericanWestCenter.php
"Great Basin National Heritage Partnership",http://test.mwdl.org/partners/GreatBasinNationalHeritagePartnership.php
"Great Basin Museum",http://test.mwdl.org/partners/GreatBasinMuseum.php
"Mendon (UT)",http://test.mwdl.org/partners/MendonUT.php
